	isolated anhidrosis with normal sweat glands	episodic ataxia type 2	autosomal dominant brachyolmia	central core myopathy	"migraine, familial hemiplegic, 1"	"malignant hyperthermia, susceptibility to, 1"	Metatropic dysplasia	Parastremmatic dwarfism	hypokalemic periodic paralysis	scapuloperoneal spinal muscular atrophy	spinocerebellar ataxia type 6	"spondyloepiphyseal dysplasia, Maroteaux type"	"spondylometaphyseal dysplasia, Kozlowski type"	"thyrotoxic periodic paralysis, susceptibility to, 1"	congenital multicore myopathy with external ophthalmoplegia	congenital stationary night blindness 2A	X-linked cone-rod dystrophy 3	Aland island eye disease	autosomal dominant congenital benign spinal muscular atrophy	arrhythmogenic right ventricular dysplasia 2	Timothy syndrome	"malignant hyperthermia, susceptibility to, 5"	intestinal hypomagnesemia 1	focal segmental glomerulosclerosis 2	catecholaminergic polymorphic ventricular tachycardia 1	Charcot-Marie-tooth disease axonal type 2C	familial digital arthropathy-brachydactyly	retinal cone dystrophy 4	deafness-infertility syndrome	Brugada syndrome 3	"epilepsy, childhood absence, susceptibility to, 6"	spermatogenic failure 7	"mental retardation, autosomal dominant 10"	"palmoplantar keratoderma, mutilating, with periorificial keratotic plaques"	dystonia 23	sinoatrial node dysfunction and deafness	"polydactyly, postaxial, type A6"	"hypotonia, infantile, with psychomotor retardation and characteristic facies"	aldosterone-producing adenoma with seizures and neurological abnormalities	"congenital contractures of the limbs and face, hypotonia, and developmental delay"	isolated focal non-epidermolytic palmoplantar keratoderma	spinocerebellar ataxia type 41	spinocerebellar ataxia type 42	"hyperaldosteronism, familial, type IV; HALD4"	"epileptic encephalopathy, early infantile, 42; EIEE42"
ion transport	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
calcium ion transmembrane transport	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
calcium ion transport	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
thigmotaxis	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
calcium channel activity	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
ion channel activity	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
transmembrane transport	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
membrane depolarization during action potential	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
cerebellar Purkinje cell layer development	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
cerebellar Purkinje cell differentiation	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
