	"COLO.829"	"NCI.H1838"	"NCI.H2126"	"NCI.H345"	"TE.5"	"BB49.HNC"	"CP66.MEL"	"CTV.1"	"LB996.RCC"	"TE.10"	"CCRF.CEM"	"SR"	"NCI.H322M"	"EKVX"	"SNB75"	"X697"	"DEL"	"ECC4"	"HuTu.80"	"LC.1F"	"MC116"	"NCI.SNU.5"	"SCH"	"SIG.M5"	"SW684"	"RCC10RGB"	"CMK"	"SNU.C1"	"D.263MG"	"MDST8"	"CL.11"	"A498"	"A2058"	"ECC10"	"MES.SA"	"CAL.51"	"KMH.2"
"Sunitinib"	1.961472	1.417667	0.916671	1.531948	1.032004	0.0	1.649032	0.0	0.0	0.0	0.0	0.0	0.813123	2.713333	0.636956	0.0	0.0	1.223075	0.0	0.596233	0.0	1.477729	0.67216	0.0	2.171572	2.081507	0.0	1.003748	1.182194	1.006259	1.572829	2.050923	0.0	0.0	0.0	0.0	0.0
"Paclitaxel"	1.761858	1.465153	0.0	0.441055	0.0	1.939081	1.092762	0.0	0.104003	0.0	0.0	0.0	1.859734	2.756695	0.0	0.0	0.0	1.664683	0.0	0.601245	0.0	0.0	0.946989	0.0	2.417768	2.547073	0.0	0.624526	0.288296	0.24377	1.763101	1.355875	0.0	0.0	0.0	0.0	0.0
"Cyclopamine"	0.0	1.622231	1.561945	1.355226	1.142894	1.533924	1.136432	0.0	0.188055	0.631924	0.0	0.0	1.026003	2.182313	0.558111	0.0	0.0	1.069203	0.0	1.26691	0.0	0.978254	1.233246	0.0	2.124934	0.0	0.0	1.89223	0.836236	0.729387	1.193126	1.548466	0.0	0.0	0.0	0.0	0.0
"Tozasertib"	1.315003	1.581036	0.031215	0.584763	0.742139	1.436474	1.1441	0.0	0.564307	0.0	0.0	0.0	1.610437	2.262102	0.449935	0.0	0.0	1.150715	0.0	1.04011	0.0	0.857474	1.180543	0.0	1.818525	1.856848	0.0	1.302755	1.394733	0.35124	0.850926	1.749705	0.0	0.0	0.0	0.0	0.0
"Crizotinib"	1.546756	0.940186	0.564892	1.284292	1.044059	0.57014	1.13076	0.0	0.786675	0.0	0.0	0.0	1.5817	2.313724	1.430289	0.0	0.0	0.78863	0.0	1.43828	0.0	0.0	0.0	0.0	1.916328	1.059634	0.0	0.061137	1.238591	0.73703	0.943347	0.0	0.0	0.0	0.0	0.0	0.0
"CMK"	2.241001	1.918109	1.809489	0.15258	1.095975	1.639697	1.250947	0.0	1.736739	0.0	0.0	0.0	0.255205	2.530679	0.6304	0.0	0.0	1.844652	0.0	1.012897	0.0	0.599166	0.992949	0.0	0.639593	0.340752	0.0	2.14282	1.474967	0.310307	1.938366	2.164812	0.0	0.0	0.0	0.0	0.0
"GW843682X"	1.845357	2.093825	0.0	0.505026	0.0	0.753177	0.284452	0.0	0.232076	0.0	0.0	0.0	2.15363	2.663139	0.0	0.0	0.0	1.143934	0.0	0.593089	0.0	0.0	1.246802	0.0	1.602786	1.926988	0.0	0.913219	1.127099	0.845219	1.321713	1.271011	0.0	0.0	0.0	0.0	0.0
"Parthenolide"	0.0	1.589864	0.784627	0.127945	0.0	1.523963	0.757642	0.0	0.929108	0.143954	0.0	0.0	1.486358	1.901462	1.535861	0.0	0.0	1.444657	0.0	1.570124	0.0	0.65787	1.089229	0.0	1.619394	0.240589	0.0	1.624206	1.425287	0.80603	1.189194	1.687396	0.0	0.0	0.0	0.0	0.0
"GSK319347A"	1.70643	0.022902	1.538583	1.035709	1.022321	1.731061	1.245569	0.0	0.912566	0.284974	0.0	0.0	1.094825	2.366717	2.169468	0.0	0.0	0.697598	0.0	1.730213	0.0	0.205485	1.200231	0.0	1.693282	3.225878	0.0	0.0	0.278774	0.289769	1.097387	2.285766	0.0	0.0	0.0	0.0	0.0
"NSC-87877"	1.687138	0.946411	0.682635	1.165503	0.989248	1.365642	0.182843	0.0	0.954367	0.383786	0.0	0.0	1.526562	3.087729	1.626757	0.0	0.0	1.397563	0.0	0.286881	0.0	0.213585	0.99682	0.0	2.038251	1.880242	0.0	1.054733	1.103231	0.227546	0.743242	1.622489	0.086094	0.0	0.0	0.0	0.063089
