	"DMS.153"	"NCI.H1092"	"NCI.H187"	"NCI.H2141"	"NCI.H2171"	"NCI.H345"	"LU.65"	"HCC1599"	"HCC2218"	"CP66.MEL"	"DMS.79"	"LU.165"	"NCI.H128"	"SK.MM.2"	"COR.L88"	"EB.3"	"LC4.1"	"MN.60"	"SW684"	"RCC10RGB"	"LS.1034"	"NCI.H1836"	"COR.L95"	"ME.1"	"ROS.50"	"KLE"	"Calu.1"	"DV.90"	"KOSC.2"	"NCI.H1618"	"COLO.680N"	"Caov.3"	"HSC.3"	"HSC.4"	"HT.115"	"MFE.280"	"SNU.475"	"SW948"	"T84"	"COLO.678"	"Capan.2"	"EFO.21"	"EFE.184"	"PLC.PRF.5"	"BT.483"	"FU.OV.1"	"H2596"	"KG.1.C"	"MCAS"	"OVKATE"	"PC.3_.JPC.3."	"WM902B"	"BICR31"	"HCC202"	"HDQ.P1"	"BC.2"	"K19"	"K8"	"KYSE.30"	"NCI.H2172"	"NCI.H2444"	"OSA.80"	"OUMS.23"	"SCC90"	"UISO.MCC.1"	"NCI.H1404"	"RD.ES"	"COR.L311"	"NCI.H1184"	"NCI.H1926"	"EW7476"	"COR.L303"	"QGP.1"	"YMB.1.E"	"NCI.H865"	"JHOS.3"	"OACM5.1"	"SNU.175"	"SNU.61"	"NCI.H735"	"ZR.75.30"	"CL.40"	"Geo"
"Vinblastine"	0.0	2.14152	0.76186	1.260797	0.0	1.629255	3.382522	0.0	1.821751	0.937276	3.119785	3.303553	0.0	2.925101	0.593337	2.595308	1.833529	1.643304	0.972781	2.717237	2.142186	2.590832	1.75609	1.92797	2.636282	1.649169	0.0	0.0	0.0	0.0	1.019187	0.0	0.0	0.0	1.482959	1.885432	0.0	1.150941	2.908745	1.827356	1.356485	1.53812	0.0	0.0	2.274626	1.640664	0.0	0.0	0.0	2.537462	1.35958	0.0	0.0	2.260725	0.798971	0.0	0.0	0.0	0.0	2.280665	1.937372	0.0	0.0	0.124241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.749996	0.0	0.0	2.565265	1.3656	0.0	1.611024	0.0	1.219244	2.155538	2.808987
"Cisplatin"	0.0	1.834063	0.370417	0.787782	0.0	1.328308	1.783964	0.0	1.808861	0.513098	0.175224	1.921657	0.0	1.466532	1.918241	1.710635	0.382238	1.826003	2.712364	3.278654	1.199065	1.737359	0.192989	1.08831	0.599037	1.585653	0.0	0.0	0.0	0.0	0.708477	0.0	0.0	0.0	0.415147	2.160734	0.0	1.696317	1.350421	1.880073	1.289018	1.391769	0.0	0.0	3.097462	0.759585	0.0	0.0	0.0	1.997662	1.725334	0.0	0.0	0.478777	0.660899	0.0	0.0	0.0	0.0	1.176556	2.071042	0.0	0.0	0.009124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.856891	0.0	0.0	0.678902	0.248613	0.0	0.902417	0.0	2.01276	2.618908	3.306201
"Cytarabine"	0.0	2.013031	1.191398	1.659028	0.0	1.851763	2.281583	0.0	2.297951	0.978223	2.275916	2.226072	0.0	1.870156	1.366988	1.953221	1.033806	1.221622	1.751071	1.657969	1.706385	2.14556	0.344908	1.164747	1.659114	1.536265	0.0	0.0	0.0	0.0	0.917635	0.0	0.0	0.0	0.083082	1.737932	0.0	0.379342	1.41483	1.113637	0.577816	0.865285	0.0	0.0	3.050657	0.743815	0.0	0.0	0.0	0.428889	0.55684	0.0	0.0	0.575851	0.540407	0.0	0.0	0.0	0.0	0.195347	0.637168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.90134	0.0	0.0	0.185997	1.313905	0.0	1.465388	0.0	0.61935	1.696845	3.087443
"Docetaxel"	0.0	2.002485	1.445301	1.39569	0.0	2.164863	2.540744	0.0	1.796255	0.752889	2.154083	2.442051	0.0	2.165168	1.436546	2.307436	2.210767	2.209392	0.0	3.293125	1.305854	1.460242	0.976438	1.936894	2.62239	0.661759	0.0	0.0	0.0	0.0	0.236169	0.0	0.0	0.0	0.634634	1.755468	0.0	1.812418	1.14134	1.0459	1.094943	0.410092	0.0	0.0	3.429438	0.697759	0.0	0.0	0.0	2.552364	0.628407	0.0	0.0	2.262983	0.154409	0.0	0.0	0.0	0.0	2.061172	0.795544	0.0	0.0	0.307988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.335925	0.0	0.0	1.029723	2.06327	0.0	2.00887	0.0	0.720061	0.928442	2.714382
"Methotrexate"	0.0	0.806035	0.0	0.322756	0.0	1.102215	1.28649	0.0	0.27764	1.132457	0.0	0.286848	0.0	0.522422	0.768241	0.0	1.002372	0.997217	1.063128	1.968326	0.588822	1.016895	0.975881	0.815235	1.099914	0.812043	0.0	0.0	0.0	0.0	0.806031	0.0	0.0	0.734887	0.465737	1.00569	0.0	1.597436	0.965948	1.107031	0.346341	0.625113	0.0	0.0	2.070402	0.594566	0.0	0.0	0.0	1.828281	1.017245	0.0	0.0	1.432283	0.318668	0.0	0.0	0.0	0.0	1.420716	1.244917	0.0	0.0	1.460311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.253401	0.0	0.0	1.182146	0.599687	0.0	1.322583	0.0	1.654704	1.326565	2.15407
"Tretinoin"	0.0	0.73943	1.088461	0.839905	0.0	1.191404	1.072141	0.0	0.5302	1.120276	0.651535	0.714014	0.0	0.754496	1.083897	1.023943	0.739794	0.332907	1.085572	2.24173	0.872616	0.376553	1.265203	0.0	0.212448	0.76448	0.0	0.0	0.0	0.0	0.584766	0.0	0.0	0.0	0.679435	1.27431	0.0	0.90594	0.908072	1.478751	0.67709	0.537702	0.0	0.0	0.592714	0.872272	0.0	0.0	0.0	2.053837	0.858329	0.0	0.0	1.522542	1.205505	0.0	0.0	0.0	0.0	1.16556	1.293995	0.0	0.0	1.560146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.762092	0.0	0.0	0.164768	0.0	0.0	1.374292	0.0	1.601546	0.90534	2.464515
"Nilotinib"	0.0	0.021378	0.81646	0.342841	0.0	0.902968	1.031652	0.0	0.987841	0.822594	1.023303	0.856286	0.0	0.643697	0.0	0.780727	0.132275	0.577157	1.472093	1.522956	0.713228	0.837751	0.95978	0.0	0.966972	1.378223	0.0	0.0	0.0	0.0	0.910866	0.0	0.0	0.229768	0.402633	0.981179	0.0	1.092378	0.652367	0.929135	0.968333	1.206237	0.0	0.0	1.895505	0.799266	0.0	0.0	0.0	1.721002	1.049297	0.0	0.0	1.175302	0.892159	0.0	0.0	0.0	0.0	0.836443	0.657392	0.0	0.0	1.244953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.496202	0.0	0.0	0.0	0.714652	0.0	1.240191	0.0	1.663265	0.7218	0.0
"Temsirolimus"	0.0	1.590223	0.795041	1.686148	0.0	1.392882	2.185259	0.0	1.470528	0.748065	1.423989	1.598349	0.0	1.396788	1.727941	1.194697	0.863882	0.229486	1.406111	2.111916	1.105011	1.790159	1.453158	1.010964	0.98229	1.088789	0.0	0.0	0.0	0.0	1.306296	0.0	0.0	0.0	1.222979	1.664042	0.0	2.491541	1.89269	1.771381	2.132383	1.451814	0.0	0.0	0.023878	0.840101	0.0	0.0	0.0	0.580836	0.569899	0.0	0.0	2.16093	1.815257	0.0	0.0	0.0	0.0	1.410441	0.621817	0.0	0.0	1.290065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.838895	0.0	0.0	0.748102	1.319841	0.0	2.317962	0.0	0.869956	2.260668	1.404118
"Olaparib"	0.0	1.113387	0.036353	1.289959	0.0	0.893709	1.587767	0.0	1.534029	0.454331	0.2783	1.236926	0.0	1.142701	0.90893	0.915502	0.895662	0.958495	2.067514	1.877609	1.462599	1.126828	1.580261	0.009238	0.995075	1.075466	0.0	0.0	0.0	0.0	0.549215	0.0	0.0	0.269184	1.051649	1.079871	0.0	0.100026	0.280905	1.037474	1.713657	1.621542	0.0	0.0	3.011093	1.049333	0.0	0.0	0.0	2.615325	0.408644	0.0	0.0	0.777464	0.412252	0.0	0.0	0.0	0.0	1.998348	1.588224	0.0	0.0	0.729177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.361047	0.0	0.0	0.699723	1.232784	0.0	1.863401	0.0	2.55251	0.625134	0.228665
"Veliparib"	0.0	0.406278	1.00768	0.614912	0.0	1.185282	1.42524	0.0	1.212405	0.999106	1.395822	0.900929	0.0	0.706811	1.032536	0.911862	0.710191	0.345734	2.240057	2.125207	0.0	0.796714	1.280412	0.485491	0.45234	1.736191	0.0	0.0	0.0	0.0	0.64753	0.0	0.0	0.357694	0.255406	1.325096	0.0	1.76733	0.721116	1.179134	1.312115	1.76077	0.0	0.0	3.408206	1.230009	0.0	0.0	0.0	2.584346	1.457781	0.0	0.0	1.294001	1.199154	0.0	0.0	0.0	0.0	1.547981	0.924703	0.0	0.0	1.832535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.862772	0.0	0.0	1.509133	0.870896	0.0	1.765916	0.0	2.581761	1.350043	2.179039
