	"MOLT.4"	"EKVX"	"SW684"	"NCI.H1299"	"CRO.AP2"	"NCI.H1623"	"NCI.H1693"	"U031"	"GP5d"	"MKN1"	"DOK"	"SKG.IIIa"	"TT"	"BT.483"	"BICR78"	"PL18"	"X451Lu"	"Hs.766T"	"NCI.H2444"	"OSC.19"	"SNU.175"
"NSC-87877"	0.0	3.087729	2.038251	1.134824	0.0	0.934445	1.850206	0.0	0.212115	0.67057	1.383588	1.39981	0.851572	2.986235	0.760018	0.532642	0.0	1.640087	1.274409	0.661054	0.0
"JNK-9L"	0.0	2.131211	1.184092	0.0	0.0	0.62666	1.595495	0.0	0.0	0.0	0.0	1.264325	0.683467	2.033783	0.161227	0.363216	0.0	1.129882	2.761796	0.0	0.0
"HG6-64-1"	0.0	2.243368	0.938109	0.0	0.0	2.222114	1.730065	0.0	0.0	0.0	0.271233	0.857449	0.627452	3.046813	0.051252	0.299579	0.0	0.684971	1.608232	0.0	0.0
"JQ1"	0.406621	1.47772	1.565365	0.902208	0.081276	1.024009	1.231647	0.0	0.284649	0.368398	0.973232	0.555508	1.358228	1.892829	0.287893	0.494027	0.439955	1.285653	0.507947	0.0	0.0
"GW-2580"	0.0	3.189257	1.154811	0.423444	0.0	0.789917	1.668236	0.0	0.0	0.312037	1.301861	1.414436	1.374828	2.867408	0.39823	0.0	0.290011	1.742002	0.489663	0.183864	0.0
"GSK1904529A"	0.0	2.550855	0.164785	0.0	0.0	1.626492	1.983334	0.0	0.0	0.0	0.0	1.254694	0.0	3.53965	0.0	0.157298	0.0	1.747584	1.601133	0.0	0.0
"Avagacestat"	0.0	3.107561	2.16903	1.076942	0.0	1.059303	2.055322	0.0	0.398627	0.824678	1.56531	1.441752	1.020276	3.002027	0.736336	0.282135	0.260811	1.464123	1.509456	0.623423	0.0
"Ruxolitinib"	0.0	2.618811	1.570595	0.821516	0.0	0.978873	1.057163	0.0	0.0	0.0	1.314211	0.902719	1.472956	2.586568	0.493611	0.297123	0.194173	0.947442	1.02568	0.0	0.0
"Ispinesib Mesylate"	0.0	2.074092	1.726352	0.757292	0.0	1.50988	1.943716	0.252716	0.0	0.261664	1.282204	1.787412	1.918187	2.503065	0.273634	1.013131	1.061111	1.842227	1.681784	0.0	0.0
"TAK-715"	0.0	2.633692	1.977736	1.457727	0.0	1.365759	1.759567	0.0	0.0	0.0	1.622953	1.296324	1.00254	2.188416	0.481602	0.530323	0.620781	1.953756	1.237501	0.0	0.0
"BX-912"	0.0	2.140864	1.917043	0.638815	0.0	1.383744	1.164401	0.0	0.0	0.012468	0.783171	1.458806	0.174494	2.392796	0.768758	0.981567	0.830777	1.724457	1.273432	0.096053	0.0
"Genentech Cpd 10"	0.0	2.445643	2.115325	0.891026	0.0	1.76825	1.491413	0.0	0.0	0.0	0.262112	1.896676	1.994654	2.217411	1.393204	1.36423	0.756026	1.920296	1.202156	0.0	0.0
"GSK1070916"	0.0	2.013307	1.606466	0.197424	0.0	1.311867	0.922484	0.0	0.013977	0.0	1.213463	1.06507	1.505763	1.91553	0.976692	0.947293	0.834236	1.451152	1.241447	0.177436	0.0
"GSK429286A"	0.0	2.319986	1.815515	0.856837	0.0	1.279721	1.678733	0.0	0.469622	0.0	1.519395	1.466471	1.643641	2.536587	0.582656	0.58892	0.409547	1.255354	0.850843	0.567944	0.304069
"XMD14-99"	0.0	2.720833	1.635906	1.080388	0.0	1.167349	1.316367	0.0	0.0	0.184449	1.457597	1.287613	1.618091	2.302596	0.890822	0.443743	0.463178	1.514531	1.011973	0.67972	0.0
"Quizartinib"	0.0	2.51108	1.299191	0.901471	0.0	0.412095	1.338429	0.338021	0.0	0.278312	1.359646	1.368601	1.476146	1.34466	0.448869	0.461329	0.388722	1.381075	1.10459	0.487074	0.0
"NPK76-II-72-1"	0.0	2.046548	1.988173	0.547997	0.0	1.272628	1.945961	0.919506	0.0	0.14932	1.772817	1.610326	1.158216	2.120932	0.26965	0.678456	0.653325	1.78418	0.851489	0.407232	0.0
"STF-62247"	0.0	2.862462	1.89499	0.992251	0.0	1.294411	1.353067	0.117143	0.287153	0.469687	1.543808	1.494221	1.586861	2.706561	0.911811	0.262429	0.0	1.531665	1.160851	0.692656	0.182199
"Zibotentan"	0.0	4.086608	2.521398	0.212736	0.0	1.354911	1.314005	0.0	0.0	0.491436	1.847059	1.815009	2.126683	3.115921	0.788209	0.017429	0.0	1.408867	0.355785	0.319549	0.0
"VNLG/124"	0.0	1.591175	1.777869	1.012557	0.0	0.906795	1.776878	0.032151	0.0	0.313606	0.825145	1.147409	0.863023	2.66677	0.294052	0.462221	0.0	1.284916	1.183243	0.567334	0.092739
"Linifanib"	0.0	2.189541	1.708294	0.902567	0.0	0.798704	1.426898	0.0	0.0	0.44492	1.047574	0.919705	1.414587	1.836521	0.627385	0.0	0.0	1.088777	0.922916	0.223018	0.0
"KIN001-236"	0.0	2.912824	1.995031	0.55544	0.0	0.902207	1.352858	0.220755	0.216444	0.676114	1.533874	1.377991	1.735896	1.853288	0.832671	0.331789	0.269719	1.623763	1.278787	0.462556	0.0
"KIN001-260"	0.0	2.296757	1.93327	0.255156	0.0	0.986014	1.711574	0.77654	0.0	0.395588	1.240367	1.309003	1.617499	2.624545	0.951307	0.524393	0.769504	1.644055	1.368697	0.147123	0.0
"NVP-BHG712"	0.0	2.11694	1.965617	0.0	0.0	0.996684	1.117568	0.104642	0.0	0.133995	1.110624	1.735116	1.467728	2.373746	1.192149	0.365974	0.0	1.738171	0.038181	0.0	0.0
"Tivozanib"	0.0	3.217835	1.732722	0.88138	0.0	1.187769	1.409461	0.007447	0.0	0.199763	1.419811	1.539435	1.706468	2.813984	0.349167	0.181437	0.106829	0.749836	1.193296	0.486232	0.0
"GSK690693"	0.0	2.02319	1.385937	0.605106	0.0	0.948686	1.459951	0.0	0.0	0.271341	0.756131	1.304563	1.39372	1.692849	0.245585	0.769966	0.72428	1.228053	1.149795	0.664002	0.395743
"QL-XI-92"	0.0	2.64071	1.847227	0.7596	0.0	1.446194	1.305019	0.405671	0.698468	0.710874	1.650593	1.640759	1.761936	1.98855	1.044944	0.877217	0.815563	1.405687	1.318869	1.004642	0.334971
"XMD13-2"	0.0	2.409719	1.825256	0.157862	0.0	1.718138	1.257899	0.049104	0.0	0.198235	0.712825	1.895711	2.004249	2.193922	0.330589	1.029743	0.283491	1.749957	1.655329	0.044723	0.0
"XMD15-27"	0.0	2.642182	1.893161	0.258267	0.0	1.201106	1.47424	0.0	0.074612	0.409786	1.482905	1.468352	1.648339	2.76048	0.77148	0.26427	0.257248	1.394759	1.125457	0.526991	0.0
"T0901317"	0.0	2.651818	0.996751	0.86429	0.0	1.226666	1.691693	0.0	0.0	0.095627	1.274313	1.382879	1.563121	2.028172	0.303118	0.0	0.0	0.901341	0.964596	0.677652	0.0
"Selisistat"	0.0	1.909209	1.836727	0.793697	0.0	1.365382	1.493745	0.273642	0.0	0.428863	1.754105	1.710403	1.490218	2.439003	0.55682	0.0	0.0	1.767602	1.342088	0.0	0.0
"KIN001-270"	0.0	3.098201	2.218421	1.077518	0.0	0.83559	1.390471	0.518031	0.27092	0.331536	1.304409	1.726411	1.952005	2.31328	0.89653	0.0	0.188488	1.592064	1.482475	0.394929	0.0
"VX-702"	0.0	1.889872	1.78055	0.0	0.0	1.028727	1.366195	0.0	0.0	0.0	0.0	1.542198	1.316229	2.796312	0.671422	0.0	0.0	0.037423	1.194474	0.0	0.0
"SGC0946"	0.0	2.250479	1.921752	0.897613	0.0	1.139368	2.060018	0.0	0.0	0.373082	0.457266	1.62354	1.880703	2.493498	0.438099	0.124716	0.0	1.166872	1.284216	0.004623	0.0
"Temozolomide"	0.0	1.968212	1.975967	0.0	0.0	1.260335	1.211659	0.361487	0.132153	0.593466	1.285497	1.040792	1.221563	2.944145	0.793337	0.0	0.353896	1.349856	1.277737	0.0	0.0
