	"MC.CAR"	"NCI.H64"	"CTV.1"	"NCI.H128"	"CCRF.CEM"	"MOLT.4"	"SR"	"X697"	"DEL"	"NCI.H2291"	"BEN"	"BT.20"	"GAMG"	"MDA.MB.175.VII"	"MDA.MB.361"	"NCI.H1793"	"SW1463"	"SW948"	"YAPC"	"AU565"	"CaR.1"	"MDA.MB.415"	"BT.483"	"MDA.MB.436"	"OVKATE"	"CAL.78"	"HCC1428"	"huH.1"	"K2"	"PCI.30"	"Sarc9371"
"Doxorubicin"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.801132	1.094743	1.095665	0.0	1.110048	0.410459	1.021804	1.489779	2.720047	1.693584	0.0	1.785213	1.921099	2.352601	1.303374	2.07969	1.406555	1.024628	1.563096	0.283035	1.519618	2.001408
"NSC-87877"	0.027134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.421156	0.0	0.826491	0.599841	0.0	0.0	1.510371	0.894879	1.202035	1.271341	0.0	1.567853	1.141549	2.986235	1.335059	1.865506	1.178349	0.971133	1.332579	1.348927	1.316022	1.84981
"Bicalutamide"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.423132	1.283661	1.563868	0.0	1.327955	0.393265	0.109623	1.260797	1.804115	1.435957	0.0	2.037194	1.67193	3.679153	1.346726	2.764307	1.147163	1.28568	1.621452	1.228582	1.582123	1.290346
"QS11"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.981158	0.874287	1.551888	0.0	1.362505	0.964174	1.838616	1.885358	1.775785	1.594236	0.0	1.937491	1.674602	0.865634	1.466034	2.345872	1.533516	1.327374	1.658969	1.188686	1.627438	2.101193
"FTI-277"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.170927	0.150496	0.378224	0.0	1.078783	0.0	1.510367	2.245152	2.38139	1.195318	0.0	0.825962	1.270894	3.448561	0.0	2.898483	0.405821	0.836745	1.444068	1.080335	1.565946	1.756778
"PAC-1"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.645804	1.448208	1.413314	0.772223	0.886116	0.094603	1.386137	2.231703	1.977831	1.477002	0.0	1.987435	1.794609	1.67209	1.527255	1.863654	1.350224	0.88907	1.059288	1.42543	1.501572	1.979076
"IPA-3"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.350753	1.150015	1.619134	0.0	1.5199	0.0	1.761766	2.197977	1.600295	1.705002	0.0	1.908243	1.391717	1.962202	1.18227	2.288735	1.08637	1.496969	1.656954	1.63748	1.67281	2.06019
"BAY-61-3606"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.352112	1.277362	1.771074	0.740908	0.429879	0.0	2.251956	2.090456	0.833933	1.753625	0.0	1.674792	1.739317	2.541873	1.14422	2.367415	1.976181	1.909679	2.038226	0.435979	2.044999	1.195069
"Luminespib"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.318821	0.369745	1.075278	0.0	0.851703	0.0	1.881826	1.887431	2.843973	1.327518	0.334763	0.894588	0.852356	3.904072	0.572813	3.597293	1.137882	0.659033	3.011893	0.504936	0.741727	1.026356
"Ruxolitinib"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.495648	0.534136	0.97332	0.0	0.740694	0.281058	1.344011	2.065193	1.524309	0.956985	0.411386	1.181737	1.220716	2.586568	1.046592	1.793071	0.901147	0.743887	1.054038	0.945027	1.036244	1.720539
