	"EKVX"	"DOHH.2"	"KALS.1"	"SW684"	"Tera.1"	"Toledo"	"NCI.H2291"	"NCI.H522"	"COR.L105"	"NCI.H1793"	"PA.1"	"SW837"	"COLO.678"	"BT.483"	"SW1116"
"JQ1"	1.47772	0.0	0.0	1.565365	0.0	0.0	0.172747	0.0	0.765697	0.66222	0.0	1.036742	1.217167	1.892829	1.513014
"Avagacestat"	3.107561	0.0	1.035907	2.16903	0.0	0.0	1.685515	0.476484	0.0	1.957941	0.0	1.357342	1.581498	3.002027	2.114771
"Ruxolitinib"	2.618811	0.0	0.140143	1.570595	0.0	0.0	1.495648	0.412386	0.0	1.344011	0.0	1.112772	1.291867	2.586568	1.417921
"Ispinesib Mesylate"	2.074092	0.0	0.0	1.726352	0.0	0.0	1.918501	0.0	0.233927	1.029236	0.0	0.0	1.715256	2.503065	1.957527
"TAK-715"	2.633692	0.0	1.055302	1.977736	0.0	0.0	1.887949	2.66E-4	0.0	1.152056	0.0	0.524423	1.953827	2.188416	2.228154
"BX-912"	2.140864	0.0	0.507139	1.917043	0.0	0.0	1.72293	0.673763	0.0	1.394347	0.0	0.260861	1.558016	2.392796	1.665102
"Genentech Cpd 10"	2.445643	0.0	0.0	2.115325	0.0	0.0	2.029027	0.0	0.0	1.768458	0.0	1.322088	1.799243	2.217411	1.998935
"GSK1070916"	2.013307	0.0	0.249552	1.606466	0.0	0.0	1.343942	0.820939	0.0	1.492703	0.0	0.15076	1.029876	1.91553	1.434489
"GSK429286A"	2.319986	0.0	0.158215	1.815515	0.0	0.0	1.497737	0.0	0.0	1.516786	0.0	1.413154	1.278486	2.536587	1.7447
"Cabozantinib"	2.299049	0.0	0.806383	2.151744	0.0	0.0	2.035575	0.983644	0.0	1.176616	0.0	0.362597	1.775108	2.657581	1.828897
"XMD14-99"	2.720833	0.0	1.008522	1.635906	0.0	0.0	1.10635	1.059881	0.0	1.64524	0.0	1.386816	1.271463	2.302596	1.789681
