	"NCI.H1838"	"CTV.1"	"EoL.1.cell"	"KARPAS.299"	"SW684"	"A3.KAW"	"OMC.1"	"ES8"	"SUP.M2"	"Tera.1"	"NCI.H1623"	"NCI.H727"	"HCC1937"	"PC.3"	"NCI.H522"	"COLO.680N"	"GAMG"	"HCC1419"	"MDA.MB.175.VII"	"NCI.H1793"	"NCI.H28"	"PA.1"	"SW1463"	"SW1783"	"UACC.893"	"COLO.678"	"EFE.184"	"BT.483"	"OVKATE"	"Hs.766T"	"KMRC.20"	"NCI.H2172"	"NCI.H2444"	"SW1116"
"GW-2580"	1.55238	0.0	0.0	0.0	1.154811	0.0	0.0	0.0	0.0	0.0	0.789917	1.969868	1.074766	0.476845	0.607497	0.363855	0.0	1.199885	0.598398	1.469743	1.395472	0.0	1.998387	0.0	1.119719	1.636981	0.0	2.867408	2.659755	1.742002	0.361146	1.71112	0.489663	1.450154
"Avagacestat"	1.51441	0.0	0.0	0.031733	2.16903	0.0	0.646212	0.296716	0.0	0.0	1.059303	1.464355	0.296519	0.256171	0.476484	0.624693	0.343647	1.964393	1.0907	1.957941	1.178244	0.0	2.488209	0.23775	1.687761	1.581498	0.0	3.002027	2.628078	1.464123	0.457669	1.723852	1.509456	2.114771
"Ruxolitinib"	0.954941	0.0	0.0	0.0	1.570595	0.0	0.0	0.0	0.0	0.0	0.978873	1.750974	0.788872	0.864226	0.412386	0.795331	0.0	1.137259	0.740694	1.344011	0.818276	0.0	2.065193	8.43E-4	1.115825	1.291867	0.0	2.586568	1.793071	0.947442	0.539205	1.33189	1.02568	1.417921
"BX-912"	1.137077	0.0	0.0	0.0	1.917043	0.0	0.348298	0.0	0.0	0.0	1.383744	1.310618	0.375782	0.470768	0.673763	1.251155	0.0	1.747327	0.948955	1.394347	1.337037	0.0	1.984466	0.135143	1.694048	1.558016	0.0	2.392796	1.244452	1.724457	0.940101	1.657616	1.273432	1.665102
"GSK429286A"	0.0	0.0	0.0	0.0	1.815515	0.0	0.089078	0.0	0.0	0.0	1.279721	1.167111	1.111867	0.04591	0.0	1.287291	0.0	0.875934	1.121152	1.516786	0.75772	0.0	2.13627	0.0	0.708561	1.278486	0.0	2.536587	2.123562	1.255354	0.318925	0.806493	0.850843	1.7447
"XMD14-99"	0.784576	0.0	0.0	0.0	1.635906	0.0	0.395706	0.0	0.0	0.0	1.167349	0.587681	1.028685	0.048336	1.059881	1.230719	0.534532	1.543779	0.569521	1.64524	1.072235	0.0	1.964097	0.296916	1.193648	1.271463	0.0	2.302596	1.426749	1.514531	0.365319	1.000194	1.011973	1.789681
"VNLG/124"	1.292588	0.0	0.0	0.0	1.777869	0.0	0.0	0.0	0.0	0.0	0.906795	1.913348	0.943763	0.0	0.986953	1.09775	0.237608	1.271567	0.333545	1.567477	1.17779	0.0	1.248154	0.0	1.385109	1.429197	0.0	2.66677	1.212438	1.284916	0.559499	0.842853	1.183243	1.407957
"Linifanib"	1.227073	0.0	0.0	0.0	1.708294	0.0	0.372297	0.0	0.0	0.0	0.798704	1.080596	0.426462	0.612279	0.280258	0.567504	0.0	0.962285	0.258598	1.468395	0.696645	0.0	1.738992	0.0	1.151592	0.956062	0.0	1.836521	2.059706	1.088777	0.177629	1.013203	0.922916	1.664887
"Y-39983"	0.719327	0.0	0.0	0.0	1.914053	0.0	0.958114	0.0	0.0	0.0	1.132086	1.024181	1.158217	0.433496	0.0	1.148424	0.0	1.618017	1.247691	1.62592	0.55809	0.0	2.183181	0.288305	1.082724	1.313309	0.0	1.327793	1.589175	1.384483	0.416011	1.121724	1.451854	1.852624
"Tivozanib"	1.342516	0.0	0.0	0.0	1.732722	0.0	0.513529	0.0	0.0	0.0	1.187769	1.720632	0.560708	0.398264	0.784817	0.226654	0.0	1.606255	0.953631	1.697153	0.795154	0.0	2.409559	0.0	1.279702	0.992571	0.0	2.813984	2.400427	0.749836	0.572075	1.234249	1.193296	1.305791
"QL-XI-92"	1.431686	0.0	0.0	0.0	1.847227	0.0	0.798074	0.0	0.0	0.0	1.446194	1.253362	0.116579	0.0	0.525478	0.107038	0.0	0.963165	0.0	1.518677	0.332724	0.0	2.214792	0.559629	0.288463	1.472409	0.0	1.98855	2.152472	1.405687	1.055059	1.253722	1.318869	1.831461
"XMD15-27"	1.042782	0.0	0.0	0.0	1.893161	0.0	0.637213	0.0	0.0	0.0	1.201106	1.772705	0.649058	0.431671	0.631634	0.962995	0.459368	1.517017	0.941452	1.633002	0.670822	0.0	2.317837	0.058998	1.025973	1.241753	0.0	2.76048	2.294112	1.394759	0.659081	1.384205	1.125457	1.774611
"Selisistat"	0.790689	0.0	0.0	0.0	1.836727	0.0	0.55163	0.0	0.0	0.0	1.365382	2.358946	1.005918	0.0	0.827145	1.300844	0.400982	2.010318	1.030529	1.846253	1.37495	0.0	2.471477	0.0	1.660806	1.729391	0.0	2.439003	2.150484	1.767602	0.199089	0.741783	1.342088	1.479329
"Olaparib"	1.633739	0.0	0.0	0.0	2.067514	0.0	0.456861	0.0	0.0	0.0	1.355456	0.888146	0.325054	0.621648	0.87063	0.549215	0.0	2.124592	1.575475	1.572632	0.594559	0.0	2.125336	0.224376	1.361117	1.037474	0.0	3.011093	2.615325	1.604842	1.033906	1.998348	1.588224	1.87574
"PLX-4720"	1.339112	0.041406	0.0	0.0	1.715062	0.193959	0.873188	1.62E-4	0.0	0.0	1.22348	1.564224	0.871719	1.015465	0.582164	1.220175	0.509838	1.502085	1.067749	0.935105	1.1365	0.0	1.969213	0.14031	0.702273	1.420748	0.0	2.369416	1.98193	1.306163	0.874222	1.469817	1.244305	1.665401
"SB505124"	0.893757	0.0	0.0	0.0	2.019969	0.0	0.486881	0.0	0.0	0.0	1.393332	1.91758	1.146646	0.591413	0.800616	1.257262	0.0	1.806563	1.181315	1.758823	1.353283	0.0	2.342309	0.0	1.570606	1.530524	0.0	2.33962	2.365722	0.651068	0.929912	1.357747	1.408379	1.816727
"Tamoxifen"	1.573097	0.0	0.0	0.0	2.154037	0.0	0.857395	0.0	0.0	0.0	1.141303	2.187202	1.112421	0.481621	1.033887	1.38125	0.27576	1.899507	1.153771	1.354262	1.327438	0.0	2.564574	0.04278	1.541477	1.62789	0.0	3.064889	2.566417	1.609438	0.629077	1.700354	1.426596	2.092344
"UNC1215"	1.526314	0.0	0.0	0.0	2.317478	0.0	0.531656	0.0	0.0	0.0	1.265885	1.511242	0.898934	0.694777	0.928909	1.276019	0.135131	1.970842	0.955248	1.778381	1.248409	0.0	2.876575	0.0	1.587575	1.698111	0.0	3.694525	2.879086	1.728128	0.547982	1.803365	1.3268	2.233461
