	"NCI.H345"	"DMS.79"	"LU.165"	"NCI.H128"	"SR"	"EKVX"	"NAMALWA"	"SCH"	"SW684"	"BL.41"	"NBsusSR"	"NCI.H1836"	"GA.10"	"KARPAS.231"	"NCI.H2291"	"HGC.27"	"Saos.2"	"LN.405"	"CaR.1"	"MDA.MB.415"	"SiHa"	"SKG.IIIa"	"TT"	"BT.483"	"SU.DHL.10"	"JEKO.1"	"RCH.ACV"
"Etoposide"	1.763312	0.740486	0.399014	0.0	0.0	2.416278	0.0	2.145357	1.017648	0.0	0.0	1.071235	0.0	0.0	2.42538	0.0	0.639249	1.308733	0.239536	1.519965	1.750491	0.860791	2.304964	2.144626	0.0	0.0	0.0
"Gemcitabine"	2.023836	1.107661	0.839981	0.0	0.0	1.996517	0.0	1.979346	2.308951	0.0	0.0	1.020746	0.0	0.0	2.224035	0.0	1.632555	1.450939	0.712007	1.480829	2.040896	0.419758	2.13754	2.532814	0.0	0.0	0.0
"QS11"	0.701794	0.839398	0.782185	0.0	0.0	0.229235	0.0	1.455623	0.0	0.0	0.0	0.65474	0.0	0.0	1.981158	0.0	1.682919	1.423218	1.937491	1.674602	1.555161	1.446399	0.046853	0.865634	0.0	0.0	0.0
"Ponatinib"	1.058244	0.921522	0.753116	0.0	0.0	2.321794	0.0	1.133785	1.622269	0.0	0.0	0.952814	0.0	0.0	1.593125	0.0	0.901819	0.362315	1.61296	0.915828	0.969317	1.071846	1.441092	2.021715	0.0	0.0	0.0
"PF-562271"	2.03736	2.188112	0.978398	0.0	0.0	2.08951	0.0	1.773014	0.0	0.0	0.0	0.682725	0.0	0.0	2.606501	0.0	1.061025	2.164546	0.715507	1.203412	1.619146	0.579882	2.165106	2.83735	0.0	0.0	0.0
"Epothilone B"	2.251645	1.448342	1.297013	0.0	0.0	1.381511	0.0	2.110249	2.813466	0.0	0.0	0.95344	0.0	0.0	2.433781	0.0	2.56318	1.263783	0.620098	0.656324	1.00086	0.819925	2.597142	2.954897	0.0	0.0	0.0
"Avagacestat"	1.29365	1.441667	1.419271	0.0	0.0	3.107561	0.059518	0.817829	2.16903	0.0	0.102805	0.952844	0.0	0.0	1.685515	0.0	1.683725	1.414125	1.914793	1.686835	0.467157	1.441752	1.020276	3.002027	0.0	0.0	0.0
"Ruxolitinib"	0.893033	0.363464	0.537098	0.0	0.0	2.618811	0.0	0.729067	1.570595	0.0	0.0	0.660523	0.0	0.0	1.495648	0.0	1.422784	0.559254	1.181737	1.220716	0.907521	0.902719	1.472956	2.586568	0.0	0.0	0.0
"TAK-715"	0.256071	1.043249	1.444249	0.0	0.0	2.633692	0.0	0.503932	1.977736	0.0	0.0	0.180619	0.0	0.0	1.887949	0.0	2.086427	1.088074	0.728667	1.667369	1.526265	1.296324	1.00254	2.188416	0.0	0.0	0.0
"Genentech Cpd 10"	1.683727	1.001716	0.194736	0.0	0.0	2.445643	0.0	1.45662	2.115325	0.0	0.0	0.679541	0.0	0.0	2.029027	0.0	1.966915	1.282379	1.575815	1.911448	1.626882	1.896676	1.994654	2.217411	0.0	0.0	0.0
"GSK1070916"	1.309411	0.512867	0.487168	0.0	0.0	2.013307	0.0	1.025123	1.606466	0.0	0.0	0.101909	0.0	0.0	1.343942	0.0	1.461408	1.082507	0.590704	1.43207	1.265496	1.06507	1.505763	1.91553	0.0	0.0	0.0
"GSK429286A"	0.0	0.697306	0.034658	0.0	0.0	2.319986	0.0	0.964057	1.815515	0.0	0.0	0.514187	0.0	0.0	1.497737	0.0	1.58573	0.568346	1.495328	1.524918	1.225249	1.466471	1.643641	2.536587	0.0	0.0	0.0
"FMK"	0.0	0.952073	1.281618	0.0	0.0	1.737903	0.0	1.190932	0.0	0.0	0.0	0.0	0.0	0.0	1.508257	0.0	1.945985	1.223316	1.641401	1.84613	1.420911	1.776694	2.016562	3.194176	0.0	0.0	0.0
"Cabozantinib"	0.462987	1.317652	0.723099	0.0	0.0	2.299049	0.0	1.485612	2.151744	0.0	0.0	1.232743	0.0	0.0	2.035575	0.0	1.9522	0.591611	1.409501	1.768081	1.597581	1.820323	0.992415	2.657581	0.0	0.0	0.0
"XMD14-99"	1.121179	1.048485	1.157833	0.0	0.0	2.720833	0.0	0.740988	1.635906	0.0	0.0	1.034615	0.0	0.0	1.10635	0.0	1.536507	1.315637	1.396211	1.414049	1.094576	1.287613	1.618091	2.302596	0.0	0.0	0.0
"NPK76-II-72-1"	1.477452	0.244369	0.239487	0.0	0.0	2.046548	0.0	1.470346	1.988173	0.0	0.0	1.104422	0.0	0.0	1.889538	0.0	1.777332	1.584285	0.951535	1.427233	1.304848	1.610326	1.158216	2.120932	0.0	0.0	0.0
"STF-62247"	1.145811	1.310111	1.106308	0.0	0.0	2.862462	0.0	1.023438	1.89499	0.0	0.164902	1.01374	0.0	0.0	1.429411	0.0	1.653588	1.278452	0.914584	1.461153	1.135503	1.494221	1.586861	2.706561	0.0	0.0	0.0
"NG-25"	1.551094	0.430179	1.021066	0.0	0.0	2.321663	0.0	0.137787	2.11472	0.0	0.0	1.437479	0.0	0.0	1.919899	0.0	1.959596	1.49048	1.536559	1.767086	1.690791	1.891026	1.551848	1.978418	0.0	0.0	0.0
"TL-1-85"	1.170437	1.116069	0.96269	0.0	0.0	2.286736	0.0	0.832854	1.817771	0.0	0.0	1.253194	0.0	0.0	1.635019	0.0	1.513694	1.050566	1.402236	1.479322	1.33809	1.545152	1.703434	2.108276	0.0	0.0	0.0
"VX-11e"	1.334011	0.974566	1.322392	0.0	0.0	1.337269	0.0	1.294273	1.902835	0.0	0.693505	1.316502	0.0	0.0	1.793605	0.0	1.720536	1.213106	1.742266	1.654571	1.35737	1.590047	1.291113	2.215757	0.0	0.0	0.0
"FR-180204"	1.114769	1.409225	1.163095	0.0	0.0	2.062955	0.0	1.245337	2.291911	0.0	0.0	0.682246	0.0	0.0	1.72054	0.0	1.567769	1.132889	1.860895	1.839556	1.474642	1.654039	2.042073	2.493727	0.0	0.0	0.0
"Tubastatin A"	0.342293	1.148415	0.060374	0.0	0.0	2.472267	0.0	1.23645	1.833047	0.0	0.0	0.0	0.0	0.0	1.76325	0.0	1.700689	1.285485	1.62786	1.548436	1.248937	1.500394	1.694527	2.134533	0.0	0.0	0.0
"Zibotentan"	1.178187	0.0	1.263797	0.0	0.0	4.086608	0.0	0.977281	2.521398	0.0	0.0	1.036696	0.0	0.0	2.077645	0.0	2.059785	1.434963	1.97556	1.850639	1.270753	1.815009	2.126683	3.115921	0.0	0.0	0.0
"Linifanib"	0.628856	0.080199	0.988644	0.0	0.0	2.189541	0.0	0.512906	1.708294	0.0	0.0	0.856177	0.0	0.0	1.26369	0.0	1.446194	0.966602	0.791718	1.374846	0.814981	0.919705	1.414587	1.836521	0.0	0.0	0.0
"BIX02189"	1.56175	0.464269	0.0	0.0	0.0	2.967728	0.0	1.473734	2.207757	0.0	0.0	0.687304	0.0	0.0	1.648558	0.0	1.987887	1.511992	1.331788	1.894168	1.604079	1.692175	1.742112	2.176793	0.0	0.0	0.0
"Pelitinib"	1.791018	1.777588	1.756584	0.0	0.0	0.415257	0.0	1.35251	1.989927	0.0	0.016549	1.480625	0.0	0.0	1.666752	0.225211	1.535155	1.223474	0.843148	1.748934	1.543805	1.505256	1.916307	1.933907	0.0	0.0	0.0
"KIN001-236"	1.046619	1.175925	0.114778	0.0	0.0	2.912824	0.0	1.111434	1.995031	0.0	0.025676	0.902614	0.0	0.0	1.684962	0.0	1.731495	1.108267	0.488167	1.440262	1.102094	1.377991	1.735896	1.853288	0.0	0.0	0.0
"WHI-P97"	1.423438	1.57632	1.01181	0.0	0.0	0.0	0.321657	1.310518	2.162558	0.0	0.0	1.049344	0.0	0.0	1.812671	0.0	1.905611	1.014171	1.079946	1.598646	1.250499	1.378843	1.212307	1.459494	0.0	0.0	0.0
"KIN001-260"	0.635463	0.237284	0.0	0.0	0.0	2.296757	0.0	1.203595	1.93327	0.0	0.051776	0.877936	0.0	0.0	1.155581	0.0	1.720362	0.607965	1.751858	0.950395	1.118088	1.309003	1.617499	2.624545	0.0	0.0	0.0
"KIN001-266"	2.155893	1.762514	1.313768	0.0	0.0	1.77918	0.0	0.765725	2.695085	0.0	0.0	1.872732	0.0	0.0	2.140864	0.0	2.342516	0.0	0.493704	2.245628	2.114142	2.065223	1.955587	3.474842	0.0	0.0	0.0
"MPS-1-IN-1"	1.719666	1.72122	0.931282	0.0	0.0	1.320544	0.0	1.630891	2.269601	0.0	0.0	1.409508	0.0	0.0	2.161765	0.0	2.054875	1.857182	1.959153	1.952178	1.721446	1.997194	0.538951	2.523432	0.0	0.0	0.0
"NVP-BHG712"	1.447401	1.298891	0.591762	0.0	0.0	2.11694	0.0	1.429366	1.965617	0.0	0.917733	0.631896	0.0	0.0	1.866955	0.0	1.801813	1.413116	0.570961	1.550469	1.530237	1.735116	1.467728	2.373746	0.0	0.0	0.0
"Fedratinib"	2.044539	0.87116	1.145556	0.0	0.0	1.176473	0.0	1.002706	2.238834	0.0	0.0	0.486148	0.0	0.0	2.431116	0.0	1.67489	1.075392	1.619766	2.305372	2.074504	2.176287	0.240075	2.887972	0.0	0.0	0.0
"Y-39983"	1.346961	0.513764	0.520069	0.0	0.0	0.838925	0.0	1.265329	1.914053	0.0	0.0	1.047528	0.0	0.0	0.998827	0.0	1.720828	0.664292	1.712442	1.500161	1.390339	1.635273	1.734603	1.327793	0.0	0.0	0.0
"Tivozanib"	1.056596	0.65753	0.0	0.0	0.0	3.217835	0.0	0.877152	1.732722	0.0	0.0	0.94452	0.0	0.0	1.837325	0.0	1.681243	0.348941	1.180276	1.573156	1.115596	1.539435	1.706468	2.813984	0.0	0.0	0.0
"QL-XI-92"	0.561557	1.200219	0.376022	0.0	0.0	2.64071	0.0	0.962964	1.847227	0.0	0.0	1.086138	0.0	0.0	1.66201	0.0	1.726318	0.0	1.411899	1.655309	1.382059	1.640759	1.761936	1.98855	0.0	0.0	0.0
"XMD13-2"	1.606127	1.032336	1.100389	0.0	0.0	2.409719	0.0	1.491291	1.825256	0.0	0.0	0.0	0.0	0.0	2.065927	0.0	1.982524	0.977778	1.200523	1.716322	1.641332	1.895711	2.004249	2.193922	0.0	0.0	0.0
"XMD15-27"	0.648171	0.814262	0.900788	0.0	0.0	2.642182	0.0	0.895626	1.893161	0.0	0.0	0.933192	0.0	0.0	1.724526	0.0	1.579247	1.25484	1.61802	1.490381	1.07503	1.468352	1.648339	2.76048	0.0	0.0	0.0
"T0901317"	1.091185	1.24112	0.959156	0.0	0.0	2.651818	0.0	0.66149	0.996751	0.0	0.0	0.0	0.0	0.0	1.363381	0.0	1.552467	1.273035	0.958395	0.642619	1.119395	1.382879	1.563121	2.028172	0.0	0.0	0.0
