	"MC.CAR"	"ACN"	"RKO"	"SW684"	"NCI.H1437"	"MIA.PaCa.2"	"NCI.H2291"	"EBC.1"	"OVCAR.3"	"A2058"	"CAL.72"	"DMS.53"	"LU.99A"	"Mewo"	"MG.63"	"NCI.H2452"	"Saos.2"	"RPMI.7951"	"RO82.W.1"	"SKG.IIIa"	"HCC.44"	"JHH.6"	"huH.1"	"MCC26"	"SW1116"	"IOSE.523..."	"KNS.62"	"H2810"
"CP466722"	0.0	0.236213	0.0	2.055904	0.0	1.981933	2.634334	0.044888	0.988971	0.123915	2.355926	1.69894	0.0	2.354104	2.283823	2.390607	2.758944	0.0	2.055502	2.584846	0.0	1.003168	2.500243	2.228817	0.920661	0.268903	0.0	0.0
"BMS-345541"	0.0	0.0	0.0	2.804995	0.0	0.980821	1.703607	0.833739	1.310071	0.0	2.374918	1.209206	1.459111	0.420976	2.293268	2.409038	1.588047	0.0	2.570323	2.34242	0.0	0.138767	2.3229	1.868192	2.999093	0.305591	0.0	0.0
"Ispinesib Mesylate"	0.0	0.498999	0.0	1.726352	0.0	0.529541	1.918501	0.0	1.38166	0.0	1.542605	1.528292	0.696411	1.535549	1.352657	1.551943	1.634434	0.0	1.660836	1.787412	0.0	0.866238	1.698282	1.372393	1.957527	1.135085	0.0	0.0
"AT-7519"	0.0	0.0	0.0	2.275536	0.0	1.161789	2.39661	0.161572	1.957349	0.240915	2.134616	2.096523	0.670646	1.065371	1.948983	2.161098	1.971242	0.0	2.259371	2.304034	0.0	0.812555	1.965885	1.868487	2.505305	1.494491	0.0	0.0
"TAK-715"	0.0	0.508765	0.0	1.977736	0.0	0.339992	1.887949	0.466931	1.093806	0.0	1.454813	1.122342	0.145312	1.295633	1.531311	1.350536	2.086427	0.0	1.801484	1.296324	0.0	0.409634	1.250793	1.305155	2.228154	0.0	0.0	0.0
"BX-912"	0.0	0.418828	0.0	1.917043	0.281466	0.99778	1.72293	0.0	1.121892	0.0	1.453564	1.434468	0.0	1.469901	1.420897	1.504593	1.786753	0.0	0.593275	1.458806	0.0	0.371038	1.585599	1.4513	1.665102	0.457622	0.0	0.0
"ZSTK474"	0.0	0.0	0.0	1.917736	0.0	0.693205	2.383433	0.0	0.960007	0.0	2.230254	1.925909	0.509815	1.164878	1.900461	2.273967	1.774251	0.0	1.630262	1.757836	0.238343	0.629067	2.154068	1.960117	1.862415	0.840399	0.0	0.0
"AS605240"	0.0	0.0	0.0	2.077882	0.0	0.341962	2.133823	0.0	1.213327	0.0	1.746728	0.993087	0.023173	1.782228	1.579248	1.769935	1.972145	0.0	1.828945	1.893705	0.0	1.402556	1.863333	1.872476	1.998184	0.015419	0.0	0.0
"Genentech Cpd 10"	0.0	0.13015	0.0	2.115325	0.0	1.155323	2.029027	0.809107	1.584481	0.0	1.653413	1.605873	0.53175	1.651483	1.598733	1.67639	1.966915	0.0	1.79126	1.896676	0.0	1.376582	1.770051	1.29957	1.998935	0.748891	0.0	0.0
"GSK1070916"	0.0	0.204121	0.0	1.606466	0.26502	0.60819	1.343942	0.192217	1.153841	0.0	1.191126	1.191961	0.285099	1.231004	1.14061	1.217925	1.461408	0.0	1.302328	1.06507	0.0	0.761113	1.307358	1.353478	1.434489	0.688448	0.0	0.0
"Enzastaurin"	0.0	0.107823	0.0	2.128879	0.0	0.792305	1.606481	0.33545	1.626569	0.0	1.693019	1.535863	0.891186	1.501364	1.635388	1.717235	2.021017	0.0	1.838302	1.93354	0.0	1.41398	0.926797	1.85736	2.136144	0.624853	0.0	0.0
"QL-XII-47"	0.0	0.0	0.0	2.211916	0.0	1.871181	2.010793	0.0	2.105501	0.0	2.067742	2.088347	0.366785	2.174259	2.124018	2.199892	1.880312	0.0	1.824419	2.356376	0.0	1.873199	2.143724	1.773409	2.477394	0.049465	0.0	0.0
"Idelalisib"	0.0	0.0	0.0	1.977428	0.068769	0.679171	1.842289	0.125476	0.840567	0.0	1.310771	1.135056	0.556544	1.262976	1.264934	1.378275	1.265953	0.0	1.503086	1.54769	0.246902	0.912664	1.30346	1.516712	1.729042	0.549167	0.0	0.0
"Cabozantinib"	0.0	1.10314	0.0	2.151744	0.582764	1.320722	2.035575	0.0	1.449341	0.802206	1.534325	1.470705	0.252969	1.462319	1.429288	1.563275	1.9522	0.0	0.893209	1.820323	0.0	0.325719	1.674795	1.770698	1.828897	0.0	0.0	0.0
"WZ3105"	0.0	0.0	0.0	2.345733	0.0	0.526552	2.529165	0.0	2.033112	0.056048	2.06692	2.065353	0.663749	0.547391	1.983573	1.945525	0.873494	0.228975	1.353097	2.093042	0.0	1.007375	1.880252	2.209948	2.540113	0.464229	0.0	0.0
