	"D-glyceric aciduria"	"Galloway-Mowat syndrome"	"Peho Syndrome"	"Severe neonatal-onset encephalopathy with microcephaly"	"X-linked intellectual disability, Cantagrel type"	"Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency"	"Hypomyelination, global cerebral"	"Gaba-Transaminase Deficiency"	"Epileptic Encephalopathy, Early Infantile, 12"	"Spinocerebellar ataxia, autosomal recessive 12"	"Microcephaly, Short Stature, and Polymicrogyria With or Without Seizures"	"Congenital disorder of glycosylation type 1u"	"Combined D-2- and L-2-Hydroxyglutaric Aciduria"	"Congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome"	"Microcephaly-thin corpus callosum-intellectual disability syndrome"	"Mental retardation, autosomal recessive 42"	"Pontocerebellar hypoplasia, type 9"	"Webb-Dattani Syndrome"	"Severe intellectual disability-epilepsy-cataract syndrome due to fatty acyl-CoA reductase 1 deficiency"	"Epileptic encephalopathy, early infantile, 28"	"3-Methylglutaconic Aciduria With Cataracts, Neurologic Involvement, and Neutropenia"	"Hypotonia, Infantile, With Psychomotor Retardation and Characteristic Facies 3"	"Epileptic Encephalopathy, Early Infantile, 40; EIEE40"	"Encephalopathy Due to Defective Mitochondrial and Peroxisomal Fission 2; EMPF2"	"Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum"	"Encephalopathy, Progressive, With Amyotrophy and Optic Atrophy"	"Lissencephaly 8"
"Microcephaly"	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
"Intellectual disability"	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0
"Seizures"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Micrognathia"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Macrotia"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Global developmental delay"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
"Neonatal hypotonia"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hypoplasia of the corpus callosum"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0
"Short nose"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Scoliosis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
"HP:0000007"	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Ventriculomegaly"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0
