	"Basal Ganglia Calcification, Idiopathic, Childhood-Onset"	"Mitochondrial complex III deficiency"	"autosomal dominant Robinow syndrome 1"	"Griscelli syndrome type 1"	"Congenital defect of folate absorption"	"Hyperlysinemia"	"Homocystinuria-Megaloblastic Anemia, Cblg Complementation Type"	"Neuroectodermal melanolysosomal disease"	"Dihydropteridine reductase deficiency"	"Succinic Semialdehyde Dehydrogenase Deficiency"	"Methylmalonic acidemia with homocystinuria"	"Methylmalonic Aciduria and Homocystinuria, Cbld Type"	"SLC35A2-CDG"	"Mental Retardation, X-Linked 102"	"Pelizaeus-Merzbacher disease"	"Cerebral Palsy, Spastic Quadriplegic, 1"	"Glut1 Deficiency Syndrome 1"	"Heterotopia, periventricular, autosomal recessive"	"Pyruvate dehydrogenase phosphatase deficiency"	"Stomatin-Deficient Cryohydrocytosis With Neurologic Defects"	"Hypomyelination and Congenital Cataract"	"Mental Retardation, Autosomal Recessive 6"	"RFT1-CDG"	"Sepiapterin reductase deficiency"	"Deficiency of phosphoserine phosphatase"	"Mental Retardation, Autosomal Recessive 38"	"Prader-Willi syndrome due to point mutation"	"Pontocerebellar hypoplasia, type 2e"	"Spinocerebellar Ataxia, Autosomal Recessive 17"	"Mental Retardation, Autosomal Recessive 47"	"Mental retardation, autosomal dominant 43"	"Dyskinesia, seizures, and intellectual developmental disorder"	"Encephalopathy, Progressive, With Amyotrophy and Optic Atrophy"	"Lissencephaly 8"	"OMIM:617391"
"Microcephaly"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0
"Intellectual disability"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Seizures"	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0
"Hypertelorism"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Macrocephaly"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Short stature"	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Frontal bossing"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Midface retrusion"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Malar flattening"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Micrognathia"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
