	"Townes syndrome"	"Cornelia De Lange Syndrome 1"	"ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 1"	"Renal cysts and diabetes syndrome"	"Pallister-Hall Syndrome"	"VATER association"	"CHARGE association"	"Craniosynostosis-Mental Retardation Syndrome of 51N and Gettig"	"FRNS"	"McKusick Kaufman syndrome"	"Smith-Lemli-Opitz Syndrome"	"Mental Retardation-Hypotonic Facies Syndrome, X-Linked, 1"	"Microphthalmia, Syndromic 1"	"ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 3"	"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart"	"Orphanet:2052"	"Orphanet:2059"	"Orphanet:2152"	"Orphanet:2438"	"Orphanet:2461"	"Caudal regression sequence"	"22q11.2 deletion syndrome"	"PELVIS syndrome"	"Orphanet:84"	"Orphanet:857"	"Orphanet:93271"	"Acropectororenal dysplasia"
"Cryptorchidism"	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Congenital diaphragmatic hernia"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Atrial septal defect"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0
"Anal atresia"	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Cleft palate"	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
"Hypospadias"	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
"Hydronephrosis"	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"Vesicoureteral reflux"	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
"Horseshoe kidney"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Renal agenesis"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
