	"Diamond-Blackfan Anemia 1"	"Cerebrocostomandibular Syndrome"	"Coffin-Siris syndrome 1"	"DiGeorge syndrome"	"Shprintzen syndrome"	"Craniofacioskeletal Syndrome"	"OMIM:302380"	"Tarp Syndrome"	"Pancreatic agenesis and congenital heart disease"	"Bohring-Opitz syndrome"	"Genitopatellar Syndrome"	"Emanuel syndrome"	"chromosome 15q26-qter deletion syndrome"	"Chromosome 19Q13.11 Deletion Syndrome, Distal"	"Chromosome 17Q23.1-Q23.2 Deletion Syndrome"	"Catel-Manzke Syndrome"	"Short Stature, Rhizomelic, With Microcephaly, Micrognathia, and Developmental Delay"	"Orphanet:1393"	"Orphanet:1596"	"Orphanet:2255"	"Orphanet:2728"	"Contractures-developmental delay-Pierre Robin syndrome"	"Orphanet:85201"	"Orphanet:96170"	"Orphanet:97297"
"Microcephaly"	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0
"Intellectual disability"	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0
"Seizures"	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
"Delayed speech and language development"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0
"Cryptorchidism"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0
"Congenital diaphragmatic hernia"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0
"Atrial septal defect"	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0
"Micrognathia"	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0
"Macrotia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"Global developmental delay"	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0
