	"DECIPHER:15"	"alpha thalassemia-intellectual disability syndrome type 1"	"Momo Syndrome"	"Chromosome 9P Deletion Syndrome"	"acrocallosal syndrome"	"Craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome"	"Megalocornea-Mental Retardation Syndrome"	"Mental retardation, X-linked, syndromic, Bain type"	"Pterygium colli-intellectual disability-digital anomalies syndrome"	"GLHS"	"acromelic frontonasal dysostosis"	"Cerebrooculonasal Syndrome"	"Cree Mental Retardation Syndrome"	"distal 10q deletion syndrome"	"Congenital Disorder of Glycosylation, Type Iq"	"Chromosome 6Pter-P24 Deletion Syndrome"	"Chromosome 5P13 Duplication Syndrome"	"OMIM:614132"	"Carpenter syndrome 2"	"Chromosome 3Q13.31 Deletion Syndrome"	"Cardiac anomalies-developmental delay-facial dysmorphism syndrome"	"Lamb-Shaffer Syndrome"	"Sifrim-Hitz-Weiss syndrome"	"Global developmental delay, absent or hypoplastic corpus callosum, and dysmorphic facies"	"Orphanet:1394"	"Orphanet:1532"	"Orphanet:2479"	"Orphanet:66625"	"Orphanet:98791"
"Microcephaly"	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0
"Intellectual disability"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
"Seizures"	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Hypertelorism"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
"Short stature"	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
"Frontal bossing"	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0
"Telecanthus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
"Cryptorchidism"	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
"Micrognathia"	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
"Downslanted palpebral fissures"	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0
