	"Acro-renal-mandibular syndrome"	"Fetal akinesia deformation sequence"	"Microcephalic Osteodysplastic Primordial Dwarfism, Type 1"	"Yunis Varon syndrome"	"Proliferative Vasculopathy and Hydranencephaly-Hydrocephaly Syndrome"	"Hydrolethalus Syndrome 1"	"Kapur-Toriello syndrome"	"Lambotte Syndrome"	"Marden-Walker Syndrome"	"Meckel Syndrome, Type 1"	"Say-Barber-Miller syndrome"	"Lethal multiple pterygium syndrome"	"Neu-Laxova syndrome 1"	"Gillessen-Kaesbach-Nishimura syndrome"	"Renal Dysplasia-Limb Defects Syndrome"	"Perlman Syndrome"	"Roberts syndrome"	"Tetraamelia-multiple malformations syndrome"	"Restrictive Dermopathy, Lethal"	"Multiple Pterygium Syndrome, X-Linked"	"Lissencephaly Type 3 and Bone Dysplasia"	"Microphthalmia syndromic 9"	"Gaucher disease, perinatal lethal"	"Growth Retardation, Developmental Delay, and Facial Dysmorphism"	"Microphthalmia, syndromic 12"	"Lethal congenital contracture syndrome 9"	"Complex lethal osteochondrodysplasia"	"NEK9-related lethal skeletal dysplasia"	"Orphanet:1662"	"Orphanet:1832"	"Orphanet:2189"	"Orphanet:2671"	"Orphanet:3103"	"Orphanet:3301"	"Orphanet:3412"	"Orphanet:86822"	"Orphanet:958"	"Paternal uniparental disomy of chromosome 6"	"Orphanet:994"	"Mosaic trisomy 9"
"Microcephaly"	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
"Hypogonadism"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hypertelorism"	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
"Lissencephaly"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Cryptorchidism"	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
"Atrial septal defect"	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Micrognathia"	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
"Narrow mouth"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Macrotia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Cleft palate"	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
