	"Solitary Median Maxillary Central Incisor"	"Sclerocornea, Autosomal Dominant"	"Microphthalmia, Syndromic 3"	"CHARGE association"	"Yunis Varon syndrome"	"isolated microphthalmia 1"	"Ectodermal dysplasia-blindness syndrome"	"Anterior Segment Dysgenesis 7"	"Van den Ende-Gupta syndrome"	"Microphthalmia, Syndromic 6"	"congenital aphakia"	"isolated microphthalmia 3"	"Oculoauricular Syndrome"	"Encephalocraniocutaneous lipomatosis"	"Brittle cornea syndrome 2"	"Microphthalmia/Coloboma and Skeletal Dysplasia Syndrome"	"Orphanet:139471"	"Orphanet:1806"	"Orphanet:2095"	"Hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome"	"Orphanet:2526"	"Orphanet:2556"	"Orphanet:2557"	"Orphanet:261197"	"Orphanet:3412"	"Orphanet:564"	"Orphanet:77298"	"Orphanet:83461"	"Orphanet:899"
"Iris coloboma"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
"Microphthalmia"	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Cataract"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
"Glaucoma"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Microcornea"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
"Retinal detachment"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Visual loss"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Chorioretinal coloboma"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Blindness"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Ectopia lentis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
