	"Saethre-Chotzen syndrome"	"Frontonasal Dysplasia 1"	"Myhre syndrome"	"Osteoglophonic dysplasia"	"Carpenter syndrome 1"	"Toriello-Carey syndrome"	"Craniosynostosis-Mental Retardation Syndrome of 51N and Gettig"	"Hennekam Lymphangiectasia-Lymphedema Syndrome 1"	"Marden-Walker Syndrome"	"mosaic variegated aneuploidy syndrome 1"	"Lethal osteosclerotic bone dysplasia"	"Schinzel-Giedion syndrome"	"Smith-Lemli-Opitz Syndrome"	"Spondyloepimetaphyseal dysplasia-short limb-abnormal calcification syndrome"	"Teebi-Shaltout Syndrome"	"Simpson-Golabi-Behmel syndrome, type 2"	"Spondyloepimetaphyseal Dysplasia, X-Linked, With Mental Deterioration"	"Hypomelanosis of Ito"	"alpha thalassemia-X-linked intellectual disability syndrome"	"Mental Retardation-Hypotonic Facies Syndrome, X-Linked, 1"	"PRS"	"Hydrocephalus-costovertebral dysplasia-Sprengel anomaly syndrome"	"Ayme-gripp syndrome"	"Fine-Lubinsky syndrome"	"Pierpont syndrome"	"Endocrine-Cerebroosteodysplasia"	"Roifman-Chitayat Syndrome"	"Spondyloepimetaphyseal dysplasia, Faden-Alkuraya type"	"Short-Rib Thoracic Dysplasia 16 with or without Polydactyly; SRTD16"	"Short Stature, Brachydactyly, Intellectual Developmental Disability, and Seizures"	"Craniosynostosis-hydrocephalus-Arnold-Chiari malformation type I-radioulnar synostosis syndrome"	"Orphanet:65759"	"Orphanet:794"
"Hypertelorism"	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0
"Cryptorchidism"	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
"Micrognathia"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Cleft palate"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Anteverted nares"	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Hypospadias"	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"HP:0000007"	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
"Microphthalmia"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Generalized hypotonia"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
"Ventriculomegaly"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
