	"Gamstorp-Wohlfart syndrome"	"Adult onset ataxia with oculomotor apraxia"	"Boucher Neuhauser syndrome"	"Perrault Syndrome 1"	"RRNS"	"Adult polyglucosan body disease"	"Knobloch syndrome"	"Mitochondrial Dna Depletion Syndrome 7 (Hepatocerebral Type)"	"Spinocerebellar ataxia-dysmorphism syndrome"	"Charcot-Marie-Tooth Disease, Type 4D"	"Ataxia-Telangiectasia-Like Disorder 1"	"ataxia with oculomotor apraxia type 2"	"Coenzyme Q10 Deficiency, Primary, 1"	"SPOAN syndrome"	"Charcot-Marie-Tooth disease type 4J"	"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract"	"Neuropathy, Hereditary Sensory and Autonomic, Type 2B"	"Microcephaly, Seizures, and Developmental Delay"	"Neuropathy, Hereditary Sensory, Type 2C"	"infantile cerebellar-retinal degeneration"	"Peroxisome Biogenesis Disorder 5B"	"Peroxisome Biogenesis Disorder 6B"	"Peroxisome Biogenesis Disorder 7B"	"Peroxisome Biogenesis Disorder 8B"	"ataxia with oculomotor apraxia type 3"	"Charcot-Marie-Tooth Disease, Type 4B3"	"Cataracts, Growth Hormone Deficiency, Sensory Neuropathy, Sensorineural Hearing Loss, and Skeletal Dysplasia"	"Perrault syndrome 5"	"autosomal recessive spinocerebellar ataxia 20"	"Neuropathy, Hereditary Motor and Sensory, Type 6B"	"Charcot-Marie-Tooth Disease, Axonal, Type 2X"	"Acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome"	"Charcot-Marie-Tooth Disease, Axonal, Autosomal Recessive, Type 2a2b;"	"Orphanet:84142"
"Coarse facial features"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"Short stature"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Pes cavus"	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0
"Nystagmus"	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Global developmental delay"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"Gait ataxia"	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Sensorineural hearing impairment"	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"High palate"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Anteverted nares"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"Long philtrum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
