	"myasthenia gravis"	"Orphanet:1267"	"Orphanet:178475"	"Orphanet:178478"	"Orphanet:178481"	"Adult intestinal botulism"	"Orphanet:228371"	"Toxin-mediated infectious botulism"	"Inhalational botulism"	"Iatrogenic botulism"
"Muscular hypotonia"	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"High pitched voice"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Dysphagia"	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0
"Constipation"	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
"Drooling"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Ptosis"	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Sleep disturbance"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Proximal finger joint hyperextensibility"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Xerostomia"	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
"Chronic otitis media"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hypertension"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Diarrhea"	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0
"Dysarthria"	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
"Muscle weakness"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"Bowel incontinence"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Abdominal pain"	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
"Arrhythmia"	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Fever"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Diplopia"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Mask-like facies"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Dyspnea"	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
"Cranial nerve paralysis"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Areflexia"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Orthostatic hypotension"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Death in infancy"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"Keratoconjunctivitis sicca"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Respiratory insufficiency"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hyponatremia"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hypotension"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Respiratory insufficiency due to muscle weakness"	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"Cardiac arrest"	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Anorexia"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Urinary retention"	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0
"Paralysis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"Cardiorespiratory arrest"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Cerebral palsy"	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
"Diaphragmatic paralysis"	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
"Mydriasis"	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
"Nausea and vomiting"	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
"Muscle flaccidity"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Abnormality of the pharynx"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
