	"autosomal dominant Robinow syndrome 1"	"Congenital Disorder of Glycosylation, Type Ia"	"Coach Syndrome"	"cytochrome-c oxidase deficiency disease"	"Growth Retardation, Small and Puffy Hands and Feet, and Eczema"	"Arima Syndrome"	"Dihydrolipoamide Dehydrogenase Deficiency"	"Mitochondrial Complex 1 Deficiency"	"Leigh syndrome"	"Peroxisome biogenesis disorder 1B"	"Myasthenic syndrome, congenital, 4a, slow-channel"	"Thiamine Metabolism Dysfunction Syndrome 2 (Biotin- or Thiamine-Responsive Type)"	"Fanconi Anemia, Complementation Group J"	"Congenital disorder of glycosylation type 1F"	"Combined Oxidative Phosphorylation Deficiency 3"	"Joubert Syndrome 7"	"Mitochondrial Dna Depletion Syndrome 5 (Encephalomyopathic With or Without Methylmalonic Aciduria)"	"Gaba-Transaminase Deficiency"	"Combined Oxidative Phosphorylation Deficiency 7"	"Hyperphosphatasia with mental retardation syndrome 3"	"Encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome"	"Myasthenic Syndrome, Congenital, 13"	"Short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome"	"Spinocerebellar Ataxia, Autosomal Recessive 13"	"Peroxisome biogenesis disorder 12A"	"Combined Oxidative Phosphorylation Deficiency 12"	"Combined oxidative phosphorylation defect type 14"	"Pontocerebellar hypoplasia, type 7"	"NGLY1-deficiency"	"Ehlers-Danlos Syndrome, Progeroid Type, 2"	"Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type b, 14"	"Acute infantile liver failure-multisystemic involvement syndrome"	"Mitochondrial Dna Depletion Syndrome 13 (Encephalomyopathic Type)"	"Early infantile epileptic encephalopathy 18"	"Joubert syndrome 21"	"Joubert syndrome 22"	"Pontocerebellar hypoplasia, type 9"	"Combined oxidative phosphorylation deficiency 20"	"Webb-Dattani Syndrome"	"Combined Oxidative Phosphorylation Deficiency 23"	"Basel-Vanagaite-Smirin-Yosef Syndrome"	"Coenzyme Q10 Deficiency, Primary, 8; COQ10D8"	"CCDC115-CDG"	"Mental Retardation, Autosomal Recessive 53; MRT53"	"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iaa"	"Epileptic encephalopathy, early infantile, 41"	"Myasthenic Syndrome, Congenital, 20, Presynaptic"	"Myasthenic syndrome, congenital, 21, presynaptic"	"OMIM:617364"	"Orphanet:3164"
"Microcephaly"	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
"Intellectual disability"	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Seizures"	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
"Hypertelorism"	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Macrocephaly"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Short stature"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Frontal bossing"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Midface retrusion"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Malar flattening"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Micrognathia"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
