	"Familial abdominal aortic aneurysm 1"	"Friedreich Ataxia and Congenital Glaucoma"	"Charcot-Marie-Tooth Peroneal Muscular Atrophy and Friedreich Ataxia, Combined"	"FRDA2"
"Pes cavus"	0.0	1.0	1.0	1.0
"Impaired vibratory sensation"	0.0	1.0	1.0	1.0
"Impaired proprioception"	0.0	0.0	1.0	0.0
"Nystagmus"	0.0	1.0	1.0	1.0
"Diabetes mellitus"	0.0	0.0	1.0	0.0
"Scoliosis"	0.0	1.0	1.0	1.0
"HP:0001417"	0.0	0.0	1.0	0.0
"Ataxia"	0.0	1.0	1.0	1.0
"HP:0003621"	0.0	1.0	1.0	1.0
"Dysarthria"	0.0	1.0	1.0	1.0
"Congestive heart failure"	0.0	1.0	1.0	1.0
"Babinski sign"	0.0	1.0	1.0	1.0
"Areflexia"	0.0	0.0	1.0	0.0
"Hammertoe"	0.0	1.0	1.0	1.0
"Distal sensory impairment"	0.0	0.0	1.0	0.0
"Steppage gait"	0.0	0.0	1.0	0.0
"Foot dorsiflexor weakness"	0.0	0.0	1.0	0.0
"Reduced tendon reflexes"	0.0	1.0	0.0	1.0
"Incoordination"	0.0	0.0	0.0	1.0
"Weakness of the intrinsic hand muscles"	0.0	0.0	1.0	0.0
"Decreased amplitude of sensory action potentials"	0.0	1.0	0.0	0.0
"Abnormal EKG"	0.0	1.0	1.0	1.0
"Congenital glaucoma"	0.0	1.0	0.0	0.0
"Concentric hypertrophic cardiomyopathy"	0.0	1.0	1.0	1.0
"Morphological abnormality of the pyramidal tract"	0.0	1.0	1.0	1.0
"Abnormal echocardiogram"	0.0	1.0	1.0	1.0
"Decreased pyruvate carboxylase activity"	0.0	1.0	1.0	1.0
"Mitochondrial malic enzyme reduced"	0.0	1.0	1.0	1.0
"Muscular subvalvular aortic stenosis"	0.0	1.0	1.0	1.0
"Diabetic ketoacidosis"	0.0	1.0	1.0	1.0
"Abnormality of the spinocerebellar tracts"	0.0	1.0	1.0	1.0
"Abnormality of the dorsal column of the spinal cord"	0.0	1.0	1.0	1.0
"Abnormality of the medulla oblongata"	0.0	1.0	1.0	1.0
"Abnormality of peripheral nerve conduction"	0.0	0.0	1.0	1.0
"Intrinsic hand muscle atrophy"	0.0	0.0	1.0	0.0
"Tibialis muscle weakness"	0.0	0.0	1.0	0.0
"Tibialis atrophy"	0.0	0.0	1.0	0.0
