	"autosomal dominant Robinow syndrome 1"	"Peroxisome biogenesis disorder 2a (zellweger)"	"hereditary motor and sensory neuropathy with agenesis of the corpus callosum"	"ALDH18A1-related De Barsy syndrome"	"Leigh syndrome, French Canadian type"	"Vici Syndrome"	"Intestinal pseudoobstruction neuronal chronic idiopathic X-linked"	"Epileptic encephalopathy, early infantile, 36"	"GLHS"	"Bohring-Opitz syndrome"	"ALG1-CDG"	"Aminoacylase 1 deficiency"	"Polyhydramnios, megalencephaly, and symptomatic epilepsy"	"Mental retardation, stereotypic movements, epilepsy, and/or cerebral malformations"	"Chromosome 17Q11.2 Deletion Syndrome, 1.4-Mb"	"Mental Retardation, Autosomal Recessive 15"	"Adams-Oliver Syndrome 2"	"Microcephaly-Capillary Malformation Syndrome"	"Hypermethioninemia encephalopathy due to adenosine kinase deficiency"	"Encephalomyopathy, Mitochondrial, Due to Voltage-Dependent Anion Channel Deficiency"	"Congenital Disorder of Glycosylation, Type Iik"	"Hyperphosphatasia with mental retardation syndrome 2"	"Peroxisome Biogenesis Disorder 4B"	"Peroxisome biogenesis disorder 5a (zellweger)"	"Schuurs-Hoeijmakers Syndrome"	"Chromosome 15Q11.2 Deletion Syndrome"	"chromosome 5q12 deletion syndrome"	"Hyperphosphatasia with mental retardation syndrome 4"	"Intellectual disability-macrocephaly-hypotonia-behavioral abnormalities syndrome"	"Seizures-scoliosis-macrocephaly syndrome"	"Desanto-shinawi syndrome"	"Cerebellar atrophy, visual impairment, and psychomotor retardation"	"Immunodeficiency-Centromeric Instability-Facial Anomalies Syndrome 3"	"Heart and Brain Malformation Syndrome"	"Chitayat Syndrome; CHYTS"	"Shashi-Pena Syndrome; SHAPNS"	"Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum"	"Immunodeficiency 49"	"Orphanet:324422"	"Intellectual disability-seizures-macrocephaly-obesity syndrome"	"Autosomal recessive cutis laxa type 2"	"Orphanet:97297"
"Microcephaly"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
"Intellectual disability"	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
"Seizures"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
"Hypertelorism"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Macrocephaly"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
"Short stature"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Frontal bossing"	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Midface retrusion"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Malar flattening"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Micrognathia"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
