	"Cole-Carpenter Syndrome 1"	"Cleidocranial dysostosis"	"Craniofacial Dysostosis With Diaphyseal Hyperplasia"	"Ehlers-Danlos Syndrome With Short Stature and Limb Anomalies"	"Andersen Tawil syndrome"	"autosomal dominant Robinow syndrome 1"	"Cranioectodermal Dysplasia 1"	"Dysosteosclerosis"	"Ehlers-Danlos syndrome, dermatosparaxis type"	"Gapo Syndrome"	"XY type gonadal dysgenesis-associated anomalies syndrome"	"Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects"	"Frank-Ter Haar syndrome"	"Desbuquois dysplasia 1"	"Oculodentodigital Dysplasia, Autosomal Recessive"	"Polydactyly, Postaxial, With Dental and Vertebral Anomalies"	"Pseudopapilledema, Ocular Hypotelorism, Blepharophimosis, and Hand Anomalies"	"Pycnodysostosis"	"Craniometaphyseal dysplasia"	"Short Stature-Obesity Syndrome"	"Deafness-epiphyseal dysplasia-short stature syndrome"	"Acroosteolysis-keloid-like lesions-premature aging syndrome"	"Spondyloocular Syndrome"	"Hamamy Syndrome"	"Spondylocheirodysplasia, Ehlers-Danlos Syndrome-Like"	"Cranioectodermal dysplasia 2"	"Osteogenesis imperfecta type 10"	"Cranioectodermal dysplasia 3"	"Cranioectodermal dysplasia 4"	"Ehlers-Danlos Syndrome, Progeroid Type, 2"	"Desbuquois dysplasia 2"	"Progeroid features-hepatocellular carcinoma predisposition syndrome"	"Cole-Carpenter Syndrome 2"	"OMIM:617402"	"Orphanet:1452"	"Orphanet:1515"	"Orphanet:157965"	"Orphanet:1770"	"Orphanet:1798"	"Orphanet:2067"	"Orphanet:2916"	"Orphanet:2963"	"Intellectual disability-polydactyly-uncombable hair syndrome"	"Orphanet:3218"	"Orphanet:3409"	"Orphanet:763"	"Orphanet:85184"
"Hypertelorism"	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Short stature"	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Frontal bossing"	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0
"Micrognathia"	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0
"Downslanted palpebral fissures"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Brachydactyly"	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0
"Sensorineural hearing impairment"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Inguinal hernia"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"High palate"	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Joint laxity"	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
