	"Granddad Syndrome"	"Hyperimmunoglobulin E syndrome"	"Lenz-Majewski Hyperostotic Dwarfism"	"orofaciodigital syndrome V"	"autosomal dominant Robinow syndrome 1"	"Silver-Russell syndrome"	"Aniridia, Partial, With Unilateral Renal Agenesis and Psychomotor Retardation"	"Cortical Blindness, Retardation, and Postaxial Polydactyly"	"Dysosteosclerosis"	"Fucosidosis"	"Gm1-Gangliosidosis, Type 1"	"Bartter syndrome, type 2, antenatal"	"Keipert syndrome"	"Infantile neuroaxonal dystrophy"	"Neurofaciodigitorenal syndrome"	"Rothmund-Thomson Syndrome"	"Short Syndrome"	"Mental Retardation, X-Linked, With Craniofacial Dysmorphism"	"D-2-Hydroxyglutaric Aciduria 1"	"Gracile Bone Dysplasia"	"Acromesomelic dysplasia Maroteaux type"	"Craniosynostosis With Ocular Abnormalities and Hallucal Defects"	"Cutis Laxa, Autosomal Recessive, Type 2B"	"Mental retardation, autosomal dominant 31"	"Motor developmental delay due to 14q32.2 paternally expressed gene defect"	"Harel-Yoon syndrome"	"Orphanet:1106"	"Orphanet:137831"	"Orphanet:2050"	"Orphanet:349"	"Orphanet:35107"	"20q11.2 microdeletion syndrome"	"Orphanet:50814"	"Orphanet:709"	"Trichorhinophalangeal syndrome type 1 and 3"
"Microcephaly"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
"Intellectual disability"	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
"Seizures"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"Hypertelorism"	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
"Macrocephaly"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Short stature"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
"Frontal bossing"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
"Midface retrusion"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
"Malar flattening"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Micrognathia"	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0
