	"Coffin-Siris syndrome 1"	"autosomal dominant Robinow syndrome 1"	"C syndrome"	"Galloway-Mowat syndrome"	"Tarp Syndrome"	"Frontoocular Syndrome"	"Emanuel syndrome"	"Hadziselimovic Syndrome"	"Chromosome 19Q13.11 Deletion Syndrome, Distal"	"chromosome 14q11-q22 deletion syndrome"	"Chromosome 16P12.2-P11.2 Deletion Syndrome, 7.1- to 8.7-Mb"	"Agenesis of the Corpus Callosum and Congenital Lymphedema"	"Primary microcephaly-epilepsy-permanent neonatal diabetes syndrome"	"Cardiofaciocutaneous syndrome 2"	"Cutis Laxa, Autosomal Dominant 3"	"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart"	"OMIM:617452"	"Orphanet:1327"	"Ring chromosome 12"	"Fetal trimethadione syndrome"	"Orphanet:1915"	"Toluene embryopathy"	"Orphanet:2461"	"Orphanet:2510"	"8p23.1 microdeletion syndrome"	"Orphanet:2554"	"Trisomy 17p"	"Orphanet:261349"	"Microcephalic osteodysplastic primordial dwarfism types I and III"	"Orphanet:2753"	"10q22.3q23.3 microduplication syndrome"	"11q22.2q22.3 microdeletion syndrome"	"Visceral neuropathy-brain anomalies-facial dysmorphism-developmental delay syndrome"	"BRESEK syndrome"	"Orphanet:96170"	"Mosaic trisomy 9"
"Microcephaly"	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
"Intellectual disability"	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0
"Seizures"	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
"Hypertelorism"	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
"Macrocephaly"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Short stature"	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Frontal bossing"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Midface retrusion"	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Malar flattening"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Micrognathia"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0
