	"Zimmermann-Laband syndrome"	"autosomal dominant Robinow syndrome 1"	"Flat face-microstomia-ear anomaly syndrome"	"Delayed speech-facial asymmetry-strabismus-ear lobe creases syndrome"	"congenital central hypoventilation syndrome"	"Otoonychoperoneal Syndrome"	"Pseudotrisomy 13 Syndrome"	"Non-eruption of teeth-maxillary hypoplasia-genu valgum syndrome"	"Lissencephaly 2, X-linked"	"Uruguay Faciocardiomusculoskeletal Syndrome"	"X-linked cerebral-cerebellar-coloboma syndrome syndrome"	"Widow'S Peak Syndrome"	"Auriculocondylar Syndrome 1"	"Spondyloocular Syndrome"	"Lennox-Gastaut syndrome"	"hypotonia-cystinuria syndrome"	"Microphthalmia With Cyst, Bilateral Facial Clefts, and Limb Anomalies"	"Hermansky-Pudlak Syndrome 2"	"Carnitine palmitoyltransferase II deficiency, lethal neonatal"	"Chromosome 3Q29 Deletion Syndrome"	"Hypertrichosis, Hyperkeratosis, Mental Retardation, and Distinctive Facial Features"	"Congenital brain dysgenesis due to glutamine synthetase deficiency"	"neuronal ceroid lipofuscinosis 10"	"Hypotonia with lactic acidemia and hyperammonemia"	"Stevenson-Carey Syndrome"	"Diamond-Blackfan Anemia 10"	"Autoimmune disease, syndromic multisystem"	"Auriculocondylar Syndrome 2"	"Peroxisome biogenesis disorder 3A"	"Peroxisome Biogenesis Disorder 7A (Zellweger)"	"Tyshchenko Syndrome"	"Microcornea-myopic chorioretinal atrophy-telecanthus syndrome"	"Microcephaly, progressive, with seizures and cerebral and cerebellar atrophy"	"Immunodeficiency 26 With or Without Neurologic Abnormalities"	"Autosomal dominant intellectual disability-craniofacial anomalies-cardiac defects syndrome"	"Corpus Callosum, Agenesis Of, With Facial Anomalies and Cerebellar Ataxia"	"15q14 microdeletion syndrome"	"OMIM:617370"	"OMIM:617450"	"Orphanet:250977"	"Orphanet:3047"	"Ectodermal dysplasia syndrome"	"Orphanet:899"
"Microcephaly"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
"Intellectual disability"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
"Seizures"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
"Hypertelorism"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Macrocephaly"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Short stature"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Frontal bossing"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Midface retrusion"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Malar flattening"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Micrognathia"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Downslanted palpebral fissures"	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
