	"Familial abdominal aortic aneurysm 1"	"branchiooculofacial syndrome"	"Cornelia De Lange Syndrome 1"	"Coffin-Siris syndrome 1"	"Autosomal dominant Opitz G/BBB syndrome"	"Jacobsen syndrome"	"Wolf-Hirschhorn Syndrome"	"CHARGE association"	"Dandy-Walker like malformation with atrioventricular septal defect"	"FRNS"	"Peters-Plus Syndrome"	"Smith-Lemli-Opitz Syndrome"	"CHIME syndrome"	"Opitz-Frias syndrome"	"osteopathia striata with cranial sclerosis"	"Opitz-Kaveggia Syndrome"	"syndromic X-linked intellectual disability Snyder type"	"Microphthalmia, Syndromic 1"	"Simpson-Golabi-Behmel syndrome"	"Cleft Palate, Cardiac Defect, Genital Anomalies, and Ectrodactyly"	"Tetrasomy 12p"	"Brachyphalangy, Polydactyly, and Tibial Aplasia/Hypoplasia"	"Orphanet:1297"	"Orphanet:138"	"Orphanet:139471"	"Orphanet:1465"	"Orphanet:1519"	"Orphanet:199"	"Orphanet:2008"	"Orphanet:2059"	"Orphanet:2162"	"Orphanet:2308"	"Orphanet:233"	"8p11.2 deletion syndrome"	"Orphanet:280"	"Orphanet:373"	"Orphanet:435"	"22q11.2 deletion syndrome"	"Microphthalmia, Lenz type"	"Orphanet:7"	"Orphanet:709"	"Orphanet:818"	"Orphanet:84"
"Microcephaly"	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
"Seizures"	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0
"Hypertelorism"	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
"Nystagmus"	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0
"Cryptorchidism"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
"Atrial septal defect"	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
"Micrognathia"	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
"Global developmental delay"	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
"Cleft palate"	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
"Hypospadias"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
