	"Mitochondrial complex III deficiency"	"Mitochondrial myopathy-lactic acidosis-deafness syndrome"	"Pyruvate carboxylase deficiency"	"OMIM:308930"	"mitochondrial complex V (ATP synthase) deficiency, nuclear type 1"	"Cardioencephalomyopathy, Fatal Infantile, Due to Cytochrome C Oxidase Deficiency 1"	"Acetyl-Coa Acetyltransferase-2 Deficiency"	"Combined oxidative phosphorylation deficiency 8"	"Lipoic acid synthetase deficiency"	"Combined oxidative phosphorylation deficiency 9"	"Combined oxidative phosphorylation deficiency 10"	"Mitochondrial Pyruvate Carrier Deficiency"	"Combined oxidative phosphorylation defect type 14"	"Combined Oxidative Phosphorylation Deficiency 16"	"Combined oxidative phosphorylation defect type 17"	"Mitochondrial Complex 3 Deficiency, Nuclear Type 6"	"Combined Oxidative Phosphorylation Deficiency 18"	"Hyperammonemic encephalopathy due to carbonic anhydrase VA deficiency"	"Congenital sideroblastic anemia-B-cell immunodeficiency-periodic fever-developmental delay syndrome"	"mitochondrial complex III deficiency nuclear type 9"	"Combined Oxidative Phosphorylation Deficiency 23"	"Lipoyltransferase 1 deficiency"	"Neonatal severe cardiopulmonary failure due to mitochondrial methylation defect"	"Combined oxidative phosphorylation deficiency 30"	"Combined oxidative phosphorylation deficiency 31"
"Microcephaly"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Seizures"	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
"Feeding difficulties in infancy"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"EEG abnormality"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Global developmental delay"	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
"Failure to thrive"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
"Gastroesophageal reflux"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"Hepatomegaly"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000007"	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Generalized hypotonia"	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
"Ventriculomegaly"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hearing impairment"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
