	"Adenylosuccinase Deficiency"	"Pallister-Hall Syndrome"	"autosomal dominant Robinow syndrome 1"	"DOORS syndrome"	"Geleophysic Dysplasia 1"	"pseudo-TORCH syndrome 1"	"Bifunctional peroxisomal enzyme deficiency"	"Sialic acid storage disease, severe infantile type"	"Spinocerebellar ataxia-dysmorphism syndrome"	"Cold-Induced Sweating Syndrome 1"	"Radial aplasia-thrombocytopenia syndrome"	"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblF TYPE"	"Puerto Rican Infant Hypotonia Syndrome"	"Codas Syndrome"	"Nicolaides-Baraitser Syndrome"	"Desmosterolosis"	"Congenital Disorder of Glycosylation, Type Iib"	"permanent neonatal diabetes mellitus"	"pontocerebellar hypoplasia type 3"	"Growth and mental retardation, mandibulofacial dysostosis, microcephaly, and cleft palate"	"Temple-Baraitser Syndrome"	"Bone fragility with contractures, arterial rupture, and deafness"	"Growth Retardation, Developmental Delay, and Facial Dysmorphism"	"chromosome 17p13.1 deletion syndrome"	"Mitochondrial Complex 5 (Atp Synthase) Deficiency, Nuclear Type 2"	"Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome 1"	"Mitochondrial Pyruvate Carrier Deficiency"	"Peroxisome biogenesis disorder 11A"	"Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome 3"	"Short Stature With Microcephaly and Distinctive Facies"	"Mitochondrial Complex 3 Deficiency, Nuclear Type 7"	"Mental Retardation, Autosomal Recessive 44"	"autosomal recessive spinocerebellar ataxia 20"	"Leukodystrophy, hypomyelinating, 10"	"Neuropathy, Hereditary Motor and Sensory, Type 6B"	"Roifman syndrome"	"Joubert Syndrome 26"	"Hyperphosphatasia with mental retardation syndrome 6"	"Spinal Muscular Atrophy With Congenital Bone Fractures 1"	"Atypical glycine encephalopathy"	"Orphanet:2311"	"Orphanet:46"	"Brain malformation-congenital heart disease-postaxial polydactyly syndrome"
"Microcephaly"	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
"Intellectual disability"	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
"Seizures"	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
"Hypertelorism"	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
"Macrocephaly"	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Short stature"	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
"Frontal bossing"	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Midface retrusion"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Malar flattening"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Nystagmus"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
