	"Myasthenia, Limb-Girdle, Autoimmune"	"Myopathy, Tubular Aggregate, 1"	"Nemaline myopathy 3"	"Myasthenia, Congenital, Refractory to Acetylcholinesterase Inhibitors"	"myasthenia gravis"	"Familial infantile myasthenia"	"Myasthenia, limb-girdle, familial"	"Congenital myopathy with fiber type disproportion"	"Nemaline myopathy 2"	"CFTDX"	"Spinal and Bulbar Muscular Atrophy, X-Linked 1"	"Spondyloepiphyseal dysplasia, Reardon type"	"Myofibrillar myopathy 1"	"Myasthenic Syndrome, Congenital, 1A, Slow-Channel"	"myotonic dystrophy type 2"	"Endplate acetylcholinesterase deficiency"	"Myasthenic syndrome, congenital, 4a, slow-channel"	"amyotrophic lateral sclerosis type 21"	"congenital myasthenic syndrome 1B"	"Myasthenic Syndrome, Congenital, 4C, Associated With Acetylcholine Receptor Deficiency"	"mitochondrial DNA depletion syndrome 2"	"congenital myasthenic syndrome 12"	"Myopathy, Congenital, Compton-North"	"Hyperuricemia-pulmonary hypertension-renal failure-alkalosis syndrome"	"Congenital myasthenic syndrome, acetazolamide-responsive"	"Nemaline Myopathy 10"	"Myasthenic Syndrome, Congenital, 15"	"congenital myasthenic syndrome 14"	"Myasthenic Syndrome, Congenital, 20, Presynaptic"	"Orphanet:100100"	"Orphanet:169105"	"Epidermolysis bullosa simplex with anodontia/hypodontia"	"Orphanet:257"	"Thymus Epithelial Neoplasm"	"Orphanet:428"	"Orphanet:589"	"Orphanet:79399"	"Orphanet:97229"	"Secondary syringomyelia"	"Orphanet:99867"	"Orphanet:99868"
"Bulbar palsy"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0
"Weak cry"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Respiratory insufficiency due to muscle weakness"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Ophthalmoparesis"	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"EMG: decremental response of compound muscle action potential to repetitive nerve stimulation"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Fatigable weakness"	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0
"Type 2 muscle fiber atrophy"	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Poor suck"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Decreased miniature endplate potentials"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prolonged miniature endplate currents"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Decreased size of nerve terminals"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Intermittent episodes of respiratory insufficiency due to muscle weakness"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
