	"Adducted Thumbs Syndrome"	"L-2-Hydroxyglutaric Aciduria"	"Marinesco-SjC6gren syndrome"	"3-Hydroxyisobutyryl-Coa Hydrolase Deficiency"	"Lipid Storage Myopathy Due to Flavin Adenine Dinucleotide Synthetase Deficiency"	"Infantile neuroaxonal dystrophy"	"Chromosome Xq28 deletion syndrome"	"Epileptic encephalopathy, early infantile, 36"	"SLC35A2-CDG"	"Congenital Disorder of Glycosylation, Type Iy"	"Congenital Disorder of Glycosylation, Type Ic"	"Alpha-N-acetylgalactosaminidase deficiency type 1"	"Muscular Dystrophy-Dystroglycanopathy (Congenital With Mental Retardation), Type B, 3"	"Muscular Dystrophy-Dystroglycanopathy (Congenital With Mental Retardation), Type B, 2"	"Congenital disorder of glycosylation type 1P"	"Pitt-Hopkins-Like Syndrome 2"	"Congenital Cataracts, Hearing Loss, and Neurodegeneration"	"Psychomotor Retardation, Epilepsy, and Craniofacial Dysmorphism"	"Congenital Disorder of Glycosylation, Type Ir"	"Pontine Tegmental Cap Dysplasia"	"Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type b, 14"	"Muscular Dystrophy-Dystroglycanopathy (Limb-Girdle), Type C, 14"	"Limb-girdle muscular dystrophy, type 2S"	"Poretti-Boltshauser Syndrome"	"Combined oxidative phosphorylation defect type 24"	"Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain and Eye Anomalies), Type A, 9"	"Microcephaly-intellectual disability-sensorineural hearing loss-epilepsy-abnormal muscle tone syndrome"	"Seizures-scoliosis-macrocephaly syndrome"	"SLC39A8-CDG"	"Spastic Paraplegia and Psychomotor Retardation With or Without Seizures"	"Mental retardation, autosomal dominant 42"	"Mental retardation, autosomal dominant 43"	"Neurodevelopmental Disorder with Hypotonia, Seizures, and Absent Language; NDHSAL"	"OMIM:617404"	"Orphanet:1496"	"Hern"	"Orphanet:370927"	"Orphanet:50817"	"Primary cutis verticis gyrata"	"Orphanet:799"
"Microcephaly"	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
"Intellectual disability"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
"Seizures"	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
"Nystagmus"	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0
"Global developmental delay"	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"Absent speech"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Failure to thrive"	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Hypoplasia of the corpus callosum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Sensorineural hearing impairment"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Strabismus"	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
