	"autosomal dominant Robinow syndrome 1"	"Microcephaly with chorioretinopathy, autosomal recessive"	"Corpus Callosum, Agenesis Of, With Abnormal Genitalia"	"Kabuki Syndrome 2"	"Borjeson-Forssman-Lehmann Syndrome"	"Ifap Syndrome With or Without Bresheck Syndrome"	"Wilson-Turner X-Linked Mental Retardation Syndrome"	"Kearns-Sayre Syndrome"	"Mental Retardation With Optic Atrophy, Facial Dysmorphism, Microcephaly, and Short Stature"	"Mental Retardation, Autosomal Recessive 5"	"Spastic Paraplegia 50, Autosomal Recessive"	"Microcephaly, Growth Retardation, Cataract, Hearing Loss, and Unusual Appearance"	"Spastic paraplegia 51, autosomal recessive"	"Lissencephaly 4"	"Spastic Paraplegia 47, Autosomal Recessive"	"Mental retardation, autosomal recessive 42"	"Rhizomelic Chondrodysplasia Punctata, Type 5"	"Microcephaly 17, Primary, Autosomal Recessive"	"Orphanet:1052"	"Orphanet:137658"	"Orphanet:139471"	"17q11.2 microduplication syndrome"	"Orphanet:193"	"Orphanet:1933"	"Orphanet:2322"	"Orphanet:244310"	"Orphanet:261330"	"Orphanet:2637"	"Mevalonic aciduria"	"Orphanet:3121"	"Orphanet:42775"	"Orphanet:51"	"Orphanet:52503"	"Orphanet:66631"	"Orphanet:739"
"Microcephaly"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Intellectual disability"	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
"Seizures"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Hypertelorism"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"Macrocephaly"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Short stature"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0
"Frontal bossing"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Midface retrusion"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Malar flattening"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Cryptorchidism"	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
