	"Familial abdominal aortic aneurysm 1"	"Charcot-Marie-Tooth disease, demyelinating, type 1b"	"Charcot-Marie-Tooth Disease, Axonal, Type 2A1"	"Charcot-Marie-Tooth disease type 1A"	"Charcot-Marie-Tooth Disease and Deafness"	"Dejerine-Sottas disease"	"Neuropathy, Hereditary Sensory and Autonomic, Type 1A"	"Roussy-LC)vy syndrome"	"Charcot-Marie-Tooth Disease, Type 4A"	"CMTX2"	"CMTX3"	"Charcot-Marie-Tooth disease type 2B"	"Charcot-Marie-Tooth disease type 1C"	"Neuropathy, Hereditary Motor and Sensory, Type 6A"	"Charcot-Marie-Tooth disease type 4B1"	"Charcot-Marie-Tooth disease type 4C"	"Charcot-Marie-Tooth Disease, Type 4B2"	"Charcot-Marie-Tooth disease type 4E"	"Charcot-Marie-Tooth disease type 4G"	"Charcot-Marie-Tooth Disease, Axonal, Type 2B1"	"Charcot-Marie-Tooth Disease, Axonal, Type 2B2"	"Hereditary Motor and Sensory Neuropathy, Type 2C"	"DNM2-related intermediate Charcot-Marie-Tooth neuropathy"	"Charcot-Marie-Tooth disease dominant intermediate A"	"Charcot-Marie-Tooth Disease, Axonal, Type 2F"	"Spinocerebellar Ataxia, Autosomal Recessive, With Axonal Neuropathy"	"Charcot-Marie-Tooth Disease, Axonal, Type 2I"	"Charcot-Marie-Tooth Disease, Axonal, Type 2E"	"Charcot-Marie-Tooth Disease, Axonal, With Vocal Cord Paresis, Autosomal Recessive"	"CMT2H"	"Charcot-Marie-Tooth Disease, Demyelinating, Type 1F"	"Charcot-Marie-Tooth Disease, Axonal, Type 2J"	"Charcot-Marie-Tooth disease dominant intermediate 3"	"Charcot-Marie-Tooth disease axonal type 2K"	"Charcot-Marie-Tooth Disease, Recessive Intermediate a"	"Moved to 614436"	"Charcot-Marie-Tooth disease axonal type 2L"	"Charcot-Marie-Tooth Disease, Axonal, Autosomal Dominant, Type 2A2A"	"Charcot-Marie-Tooth Disease, Type 4H"	"giant axonal neuropathy 2"	"Charcot-Marie-Tooth disease, type 2N"	"Charcot-Marie-Tooth disease type 2P"	"Charcot-Marie-Tooth disease dominant intermediate E"	"Distal hereditary motor neuronopathy type 5B"	"Charcot-Marie-Tooth disease type 4F"	"Charcot-Marie-Tooth Disease, Recessive Intermediate C"	"Myasthenic syndrome, congenital, 7, presynaptic"	"Orphanet:3115"
"Pes cavus"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Hypertrophic nerve changes"	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Decreased motor nerve conduction velocity"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
"Split hand"	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"HP:0000006"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0
"HP:0001425"	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0003621"	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Kyphoscoliosis"	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hyporeflexia"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
"Distal amyotrophy"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
