	"branchiooculofacial syndrome"	"Corneal Hypesthesia With Retinal Abnormalities, Sensorineural Deafness, Unusual Facies, Persistent Ductus Arteriosus, and Mental Retardation"	"Myhre syndrome"	"Chromosome 9P Deletion Syndrome"	"Recombinant 8 syndrome"	"autosomal dominant Robinow syndrome 1"	"Camptodactyly Syndrome, Guadalajara, Type 1"	"Autosomal recessive cutis laxa type 2, classic type"	"Hyperphosphatasia With Mental Retardation Syndrome 1"	"Desbuquois dysplasia 1"	"mosaic variegated aneuploidy syndrome 1"	"Lethal osteosclerotic bone dysplasia"	"Schinzel-Giedion syndrome"	"Spondyloepimetaphyseal Dysplasia, Sponastrime Type"	"Spondyloepimetaphyseal Dysplasia, X-Linked, With Mental Deterioration"	"Lubs X-Linked Mental Retardation Syndrome"	"Brooks-Wisniewski-Brown Syndrome"	"Syndromic mental retardation, Nascimento type, X-linked"	"Linear Skin Defects With Multiple Congenital Anomalies 2"	"Mental Retardation-Hypotonic Facies Syndrome, X-Linked, 1"	"Chromosome 18Q Deletion Syndrome"	"Pierpont syndrome"	"Marshall-Smith Syndrome"	"Blepharophimosis-intellectual disability syndrome, Verloes type"	"Kleefstra syndrome"	"Combined pituitary hormone deficiencies, genetic forms"	"LEOPARD syndrome 3"	"Mental Retardation, Autosomal Dominant 27"	"Vitamin K-antagonist embryofetopathy"	"Cono-spondylar dysplasia"	"47,XYY syndrome"	"Pfeiffer syndrome type 1"	"Pfeiffer syndrome type 3"
"Microcephaly"	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"Intellectual disability"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
"Seizures"	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
"Hypertelorism"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
"Macrocephaly"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Short stature"	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Frontal bossing"	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Midface retrusion"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
"Malar flattening"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Micrognathia"	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
