	"Cockayne syndrome B"	"Johnson neuroectodermal syndrome"	"Bardet-Biedl syndrome 1"	"Cockayne Syndrome a"	"Moved to 216400"	"Trichothiodystrophy 4, Nonphotosensitive"	"Galloway-Mowat syndrome"	"Mucolipidosis type IV"	"Netherton syndrome"	"Retinitis Pigmentosa, Deafness, Mental Retardation, and Hypogonadism"	"OMIM:275550"	"syndromic X-linked intellectual disability 17"	"Pigmentary disorder, reticulate, with systemic manifestations, X-linked"	"Chondrodysplasia Punctata 2, X-Linked Dominant"	"Aicardi syndrome"	"Focal Dermal Hypoplasia"	"Congenital Hemidysplasia With Ichthyosiform Erythroderma and Limb Defects"	"Ifap Syndrome With or Without Bresheck Syndrome"	"Incontinentia pigmenti syndrome"	"Trichothiodystrophy 1, photosensitive"	"Xeroderma Pigmentosum, Complementation Group B"	"XFE progeroid syndrome"	"Alacrima, achalasia, and mental retardation syndrome"	"Orphanet:110"	"Orphanet:1173"	"Hidrotic ectodermal dysplasia, Halal type"	"Orphanet:191"	"Xeroderma pigmentosum-Cockayne syndrome complex"	"Orphanet:2273"	"Orphanet:2377"	"X-linked intellectual disability-hypogonadism-ichthyosis-obesity-short stature syndrome"	"Orphanet:3085"	"Orphanet:3157"	"Orphanet:464"	"KID syndrome"	"Orphanet:50"	"Orphanet:578"	"Orphanet:634"	"Orphanet:65"	"Orphanet:739"	"Orphanet:77"	"Orphanet:791"	"BRESEK syndrome"	"Orphanet:910"	"Orphanet:930"	"Pituitary stalk interruption syndrome"
"Microcephaly"	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
"Intellectual disability"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
"Seizures"	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
"Hypogonadism"	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
"Short stature"	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
"Nystagmus"	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"Cryptorchidism"	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0
"Global developmental delay"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
"Sensorineural hearing impairment"	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
"Strabismus"	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
