	"Feingold syndrome type 1"	"DOORS syndrome"	"Autosomal recessive hypohidrotic ectodermal dysplasia syndrome"	"Uruguay Faciocardiomusculoskeletal Syndrome"	"Coffin-Lowry Syndrome"	"Ectodermal Dysplasia 1, Hypohidrotic, X-Linked"	"Tetrasomy 12p"	"Pierpont syndrome"	"Hypospadias, Hypertelorism, Upper 51D Coloboma, and Mixed-Type Hearing Loss"	"Goldberg-Shprintzen Syndrome"	"Kleefstra syndrome"	"Mitochondrial Dna Depletion Syndrome 13 (Encephalomyopathic Type)"	"Cardiac anomalies-developmental delay-facial dysmorphism syndrome"	"15q14 microdeletion syndrome"	"Orphanet:1519"	"Trisomy 12p"	"Non-distal trisomy 13q"	"Orphanet:2025"	"Orphanet:2077"	"8q12 microduplication syndrome"	"2q23.1 microdeletion syndrome"	"Orphanet:2429"	"2q31.1 microdeletion syndrome"	"Orphanet:261120"	"14q12 microdeletion syndrome"	"Trisomy 20p"	"Orphanet:2616"	"Orphanet:2671"	"Symptomatic form of Coffin-Lowry syndrome in female carriers"	"Orphanet:2963"	"Orphanet:3219"	"Orphanet:46627"	"Orphanet:578"	"Ectodermal dysplasia syndrome"	"Orphanet:800"	"Orphanet:85286"	"Orphanet:884"	"Orphanet:93473"	"8p inverted duplication/deletion syndrome"	"Kleefstra syndrome due to 9q34 microdeletion"	"Orphanet:965"
"Coarse facial features"	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
"Everted lower lip vermilion"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Synophrys"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
"Low anterior hairline"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Highly arched eyebrow"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
"Thick lower lip vermilion"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Long eyelashes"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Wide nose"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Thick eyebrow"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
"Hirsutism"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
