	"Congenital contractural arachnodactyly"	"Marfan Syndrome"	"Marfanoid Hypermobility Syndrome"	"Shprintzen-Goldberg Craniosynostosis Syndrome"	"Arterial tortuosity syndrome"	"brittle cornea syndrome"	"Corneal fragility keratoglobus, blue sclerae AND joint hypermobility"	"Classic homocystinuria"	"syndromic X-linked intellectual disability Raymond type"	"Occipital Horn Syndrome"	"Ehlers-Danlos syndrome, musculocontractural type"	"Marfanoid Habitus With Situs Inversus"	"Loeys-Dietz syndrome"	"Loeys-Dietz Syndrome 2"	"Aneurysm-osteoarthritis syndrome"	"Brittle cornea syndrome 2"	"Cutis Laxa, Autosomal Recessive, Type 1B"	"Loeys-Dietz syndrome 4"	"Ehlers-Danlos Syndrome, Musculocontractural Type, 2"	"Loeys-Dietz syndrome 5"	"Orphanet:115"	"Cryptorchidism-arachnodactyly-intellectual disability syndrome"	"Orphanet:1900"	"Orphanet:198"	"Orphanet:229"	"Neonatal Marfan syndrome"	"Orphanet:285"	"Ehlers-Danlos syndrome, vascular type"	"Orphanet:287"	"Orphanet:3342"	"Orphanet:394"	"Orphanet:558"	"Orphanet:60030"	"Orphanet:64755"	"Orphanet:90354"	"Familial thoracic aortic aneurysm and aortic dissection"	"Aneurysm or dilatation of ascending aorta"
"Hypertelorism"	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
"Tall stature"	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0
"Long face"	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Congenital diaphragmatic hernia"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Downslanted palpebral fissures"	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"Depressed nasal bridge"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Cleft palate"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
"Inguinal hernia"	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
"High palate"	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
"Joint laxity"	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
