	"Familial abdominal aortic aneurysm 1"	"Cardiofaciocutaneous syndrome 1"	"Cri-Du-Chat Syndrome"	"Kabuki syndrome 1"	"Rubinstein-Taybi Syndrome 1"	"Shprintzen-Goldberg Craniosynostosis Syndrome"	"Williams-Beuren syndrome"	"Seckel syndrome 1"	"Microcephalic Osteodysplastic Primordial Dwarfism, Type 3"	"Cohen Syndrome"	"Costello Syndrome"	"Dubowitz syndrome"	"Meier-Gorlin syndrome 1"	"McDonough syndrome"	"Mental Retardation, Buenos Aires Type"	"Kabuki Syndrome 2"	"Coffin-Lowry Syndrome"	"Koolen-De Vries Syndrome"	"Seckel syndrome 5"	"Orphanet:1340"	"Orphanet:192"	"Orphanet:193"	"Orphanet:2322"	"Orphanet:235"	"Orphanet:2471"	"Orphanet:3071"	"Orphanet:3079"	"Orphanet:648"	"Orphanet:96169"
"Microcephaly"	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0
"Intellectual disability"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
"Seizures"	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0
"Feeding difficulties in infancy"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
"Hypertelorism"	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0
"Short stature"	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Cryptorchidism"	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
"Micrognathia"	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
"Downslanted palpebral fissures"	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
"High palate"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
