	"Familial abdominal aortic aneurysm 1"	"Orphanet:168558"	"Inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency"	"Orphanet:90790"	"Orphanet:90791"	"Orphanet:90794"	"Orphanet:90795"	"Orphanet:95699"
"Cryptorchidism"	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"Failure to thrive"	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
"Proximal finger joint hyperextensibility"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Agenesis of corpus callosum"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Delayed skeletal maturation"	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
"Osteoporosis"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Hypernatriuria"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Premature birth"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Vomiting"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Sex reversal"	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
"Neonatal hypoglycemia"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"Decreased fertility"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Delayed puberty"	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"Aplasia of the uterus"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Male pseudohermaphroditism"	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"Gynecomastia"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Hyperkalemia"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Dehydration"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"Hyponatremia"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Feeding difficulties"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Hypotension"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"Decreased testicular size"	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"Adrenal hypoplasia"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Decreased circulating cortisol level"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Clitoral hypertrophy"	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
"Generalized bronze hyperpigmentation"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Renal salt wasting"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Elevated circulating follicle stimulating hormone level"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"Elevated circulating luteinizing hormone level"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"HP:0004319"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Increased circulating renin level"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"Ambiguous genitalia, male"	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"Low maternal serum estriol"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Increased circulating ACTH level"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Acidosis"	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"Abnormality of cholesterol metabolism"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Abnormality of the Leydig cells"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Absence of secondary sex characteristics"	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"Adrenal calcification"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"Female external genitalia in individual with 46,XY karyotype"	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"Adrenocorticotropic hormone excess"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Hypovolemia"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Abnormal urine potassium concentration"	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
"Midshaft hypospadias"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Decreased circulating androgen level"	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
"Induced vaginal delivery"	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
"Urogenital sinus anomaly"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
