	"Epidermolysis Bullosa Dystrophica, Pretibial"	"Orphanet:101330"	"Orphanet:304"	"Orphanet:46487"	"Lichen planopilaris"	"Orphanet:704"	"Orphanet:79358"	"Orphanet:79397"	"Orphanet:79401"	"Orphanet:79410"
"Hyperpigmentation of the skin"	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Dermal atrophy"	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0
"Pruritus"	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
"Nail dystrophy"	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
"Inflammation of the large intestine"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Milia"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0
"Bruising susceptibility"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
"Atypical scarring of skin"	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
"Prematurely aged appearance"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
"Hypopigmented skin patches"	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
"Reticulated skin pigmentation"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
