	"multiple endocrine neoplasia type 1"	"Orphanet:276152"	"Orphanet:652"	"Orphanet:913"	"GRFoma"	"PPoma"	"Pancreatic Glucagonoma"	"Orphanet:97282"	"Orphanet:97283"
"Microcephaly"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Intellectual disability"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Seizures"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hepatomegaly"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"Prolactin excess"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"Increased circulating gonadotropin level"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"Poor appetite"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"Primary hyperparathyroidism"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"Intrahepatic cholestasis"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"Neoplasm of the pancreas"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"Ascites"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"Anorexia"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"Intermittent jaundice"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"Nausea and vomiting"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
