	"Syndromic mental retardation, Nascimento type, X-linked"	"Craniodigital syndrome-intellectual disability syndrome"	"Orphanet:1895"	"Orphanet:1951"	"Orphanet:217340"	"Orphanet:2792"	"Orphanet:2983"	"Orphanet:3268"	"Orphanet:531"
"Intellectual disability"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Autism"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Malar flattening"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Short philtrum"	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
"Failure to thrive"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
"High palate"	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
"Synophrys"	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0
"Toe syndactyly"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Clinodactyly of the 5th finger"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0
"Thick eyebrow"	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
"Sandal gap"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Abnormality of the dentition"	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
"Obsessive-compulsive behavior"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Attention deficit hyperactivity disorder"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Abnormality of the outer ear"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
