	"Acyl-Coa Dehydrogenase, Medium-Chain, Deficiency of"	"Argininosuccinate lyase deficiency"	"3-Methylcrotonyl-Coa Carboxylase 1 Deficiency"	"3-methylcrotonyl CoA carboxylase 2 deficiency"	"Carnitine acylcarnitine translocase deficiency"	"Citrullinemia type I"	"Dihydropyrimidinuria"	"Visceral Steatosis, Congenital"	"fructose-1,6-bisphosphatase deficiency"	"Glutaryl-CoA dehydrogenase deficiency"	"Carbamoyl Phosphate Synthetase 1 Deficiency, Hyperammonemia Due to"	"Hyperammonemia, type III"	"Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome"	"isovaleric acidemia"	"3-hydroxy-3-methylglutaric aciduria"	"Dihydrolipoamide Dehydrogenase Deficiency"	"Deficiency of malonyl-CoA decarboxylase"	"Maple Syrup Urine Disease"	"methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency"	"methylmalonic acidemia cb1A type"	"Methylmalonic Aciduria, Cblb Type"	"Biotinidase deficiency"	"Holocarboxylase synthetase deficiency"	"dihydropyrimidine dehydrogenase deficiency"	"Ornithine carbamoyltransferase deficiency"	"Cyclic Vomiting Syndrome"	"propionic acidemia"	"Long-Chain 3-Hydroxyacyl-Coa Dehydrogenase Deficiency"	"Orphanet:137"	"Orphanet:156"	"Orphanet:157"	"Orphanet:159"	"Orphanet:228305"	"Orphanet:228308"	"Orphanet:2394"	"Orphanet:27"	"Vitamin B12-responsive methylmalonic acidemia"	"Vitamin B12-unresponsive methylmalonic acidemia type mut0"	"Methylmalonic acidemia without homocystinuria"	"Orphanet:35"	"Orphanet:352"	"Orphanet:67046"	"Orphanet:67048"	"Orphanet:79239"	"Orphanet:79241"	"Orphanet:79242"	"Vitamin B12-unresponsive methylmalonic acidemia type mut-"
"Seizures"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
"Feeding difficulties in infancy"	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Global developmental delay"	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
"Failure to thrive"	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
"Hepatomegaly"	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0
"HP:0000007"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Generalized hypotonia"	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0003593"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Thrombocytopenia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0
"Neutropenia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
