	"DECIPHER:66"	"Johnson neuroectodermal syndrome"	"Shprintzen syndrome"	"Epiphyseal Dysplasia, Microcephaly, and Nystagmus"	"Fanconi anemia, complementation group C"	"Fanconi Anemia, Complementation Group D2"	"Fanconi Anemia, Complementation Group a"	"Microcephaly-cervical spine fusion anomalies syndrome"	"Oculopalatocerebral Syndrome"	"Xeroderma pigmentosum, group F"	"Chromosome Xp11.3 Deletion Syndrome"	"Aphalangia, Partial, With Syndactyly and Duplication of Metatarsal 4"	"Fanconi Anemia, Complementation Group E"	"Trichothiodystrophy 1, photosensitive"	"Tricho-oculo-dermo-vertebral syndrome"	"Growth Failure, Microcephaly, Mental Retardation, Cataracts, Large Joint Contractures, Osteoporosis, Cortical Dysplasia, and Cerebellar Atrophy"	"Xeroderma Pigmentosum, Complementation Group B"	"Riddle Syndrome"	"Skeletal Defects, Genital Hypoplasia, and Mental Retardation"	"Nijmegen Breakage Syndrome-Like Disorder"	"Brain calcification, Rajab type"	"Feingold syndrome type 2"	"Microcephaly 11, Primary, Autosomal Recessive"	"Mental retardation, autosomal dominant 33"	"Trichothiodystrophy 6, Nonphotosensitive; TTD6"	"Fanconi Anemia, Complementation Group 5"	"Growth hormone insensitivity syndrome"	"Orphanet:1824"	"Hypo- and hypermelanotic cutaneous macules-retarded growth-intellectual disability syndrome"	"Orphanet:2985"	"Orphanet:317"	"Orphanet:85273"
"Microcephaly"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Intellectual disability"	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Cafe-au-lait spot"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Abnormal heart morphology"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Short stature"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Global developmental delay"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Horseshoe kidney"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Renal agenesis"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000007"	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
"Abnormality of skin pigmentation"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
