	"MRXS12"	"Goldberg-Shprintzen Syndrome"	"FWS"	"Alazami Syndrome"	"Severe intellectual disability-progressive spastic diplegia syndrome"	"Mental Retardation, Autosomal Recessive 39"	"Mental retardation, autosomal dominant 24"	"Cerebellar-facial-dental syndrome"	"Al-Raqad Syndrome"	"Corpus Callosum, Agenesis Of, With Facial Anomalies and Cerebellar Ataxia"	"Immunodeficiency-Centromeric Instability-Facial Anomalies Syndrome 3"
"Deeply set eye"	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
"Frontal bossing"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Malar flattening"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Depressed nasal bridge"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Low-set ears"	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
"HP:0000007"	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
"Delayed skeletal maturation"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Severe short stature"	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Osteoporosis"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Wide mouth"	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Thrombocytopenia"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Decreased body weight"	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
