	"hereditary spastic paraplegia 3A"	"Spastic paraplegia 4, autosomal dominant"	"hereditary spastic paraplegia 17"	"Spastic paraplegia 15"	"Spastic paraplegia 5A"	"Troyer syndrome"	"hereditary spastic paraplegia 34"	"Spastic Paraplegia 2, X-Linked"	"hereditary spastic paraplegia 6"	"Distal hereditary motor neuronopathy type 5"	"hereditary spastic paraplegia 9A"	"Charcot-Marie-Tooth Disease, Axonal, Type 2D"	"hereditary spastic paraplegia 8"	"Spastic Paraplegia 10, Autosomal Dominant"	"hereditary spastic paraplegia 11"	"Spastic Paraplegia 12, Autosomal Dominant"	"SPG14"	"Spastic Paraplegia 13, Autosomal Dominant"	"hereditary spastic paraplegia 19"	"Spastic Paraplegia 7, Autosomal Recessive"	"Spastic Paraplegia, Ataxia, and Mental Retardation"	"SPG27"	"Spastic Paraplegia 26, Autosomal Recessive"	"hereditary spastic paraplegia 28"	"hereditary spastic paraplegia 29"	"Spastic paraplegia 33, autosomal dominant"	"Spastic Paraplegia 31, Autosomal Dominant"	"hereditary spastic paraplegia 30"	"hereditary spastic paraplegia 32"	"SPG37"	"SPG38"	"Spastic Paraplegia 42, Autosomal Dominant"	"SPG36"	"Spastic Paraplegia 44, Autosomal Recessive"	"OMIM:613364"	"Spastic paraplegia 46, autosomal recessive"	"Spastic paraplegia 56, autosomal recessive"	"Spastic Paraplegia 55, Autosomal Recessive"	"Spastic Paraplegia 72, Autosomal Recessive"	"Spastic Paraplegia 74, Autosomal Recessive"	"Spastic paraplegia 76, autosomal recessive"	"Spastic paraplegia-Paget disease of bone syndrome"	"Orphanet:431329"
"Pes cavus"	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
"HP:0000006"	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Agenesis of corpus callosum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Obesity"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0003676"	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Mental deterioration"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Urinary incontinence"	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Spastic paraplegia"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Hyperreflexia"	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Gaze-evoked nystagmus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
