	"Achondroplasia"	"acrocephalosyndactylia"	"Stickler syndrome type 1"	"Atelosteogenesis type I"	"Atelosteogenesis, Type 3"	"Chondrodysplasia punctata, tibial-metacarpal type"	"Cleidocranial dysostosis"	"Corneal Hypesthesia With Retinal Abnormalities, Sensorineural Deafness, Unusual Facies, Persistent Ductus Arteriosus, and Mental Retardation"	"Jackson-Weiss syndrome"	"Beare-Stevenson Cutis Gyrata Syndrome"	"Ehlers-Danlos Syndrome, Type Vii, Autosomal Dominant"	"Myhre syndrome"	"Holoprosencephaly 3"	"Nager syndrome"	"Marshall Syndrome"	"Kniest Dysplasia"	"Holoprosencephaly 2"	"Chromosome 9P Deletion Syndrome"	"Osteoglophonic dysplasia"	"Phocomelia-Ectrodactyly, Ear Malformation, Deafness, and Sinus Arrhythmia"	"progeria"	"Recombinant 8 syndrome"	"autosomal dominant Robinow syndrome 1"	"Stickler syndrome, type 3"	"Carpenter syndrome 1"	"Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis"	"Antley-Bixler syndrome"	"Camptodactyly Syndrome, Guadalajara, Type 1"	"Otospondylomegaepiphyseal Dysplasia, Autosomal Recessive"	"Craniofacial dyssynostosis"	"Craniosynostosis-Mental Retardation Syndrome of 51N and Gettig"	"Autosomal recessive cutis laxa type 2, classic type"	"Leigh syndrome, French Canadian type"	"Donnai-Barrow Syndrome"	"Dyssegmental dysplasia, Rolland-Desbuquois type"	"Frontofacionasal Dysplasia"	"Glycogen Storage Disease 3"	"Gorlin-Chaudhry-Moss syndrome"	"Mullerian derivatives-lymphangiectasia-polydactyly syndrome"	"Hyperphosphatasia With Mental Retardation Syndrome 1"	"Keutel syndrome"	"Mannosidosis, Alpha B, Lysosomal"	"Metaphyseal acroscyphodysplasia"	"Desbuquois dysplasia 1"	"Muscle eye brain disease"	"Atelosteogenesis type II"	"mosaic variegated aneuploidy syndrome 1"	"Primrose syndrome"	"Lethal osteosclerotic bone dysplasia"	"Pseudodiastrophic dysplasia"	"autosomal recessive Robinow syndrome"	"Schinzel-Giedion syndrome"	"schneckenbecken dysplasia"	"sclerosteosis 1"	"Spondyloepimetaphyseal Dysplasia, Sponastrime Type"	"Spondyloepimetaphyseal dysplasia with joint laxity"	"Spondyloepimetaphyseal dysplasia-short limb-abnormal calcification syndrome"	"Spondyloperipheral dysplasia"	"Subaortic stenosis-short stature syndrome"	"Whistling Face Syndrome, Recessive Form"	"Spondyloepimetaphyseal Dysplasia, X-Linked, With Mental Deterioration"	"Lubs X-Linked Mental Retardation Syndrome"	"Armfield syndrome"	"creatine transporter deficiency"	"Syndromic mental retardation, Nascimento type, X-linked"	"Baratela-Scott Syndrome"	"Mental Retardation-Hypotonic Facies Syndrome, X-Linked, 1"	"Pectus excavatum-macrocephaly-dysplastic nails syndrome"	"Chromosome 2Q37 Deletion Syndrome"	"Craniosynostosis 4"	"Ayme-gripp syndrome"	"Neurofibromatosis-Noonan syndrome"	"Myelodysplasia, Immunodeficiency, Facial Dysmorphism, Short Stature, and Psychomotor Delay"	"Chromosome 18Q Deletion Syndrome"	"GLHS"	"Pierpont syndrome"	"Axenfeld-Rieger syndrome type 3"	"Muenke syndrome"	"Hypospadias, Hypertelorism, Upper 51D Coloboma, and Mixed-Type Hearing Loss"	"Spondyloepimetaphyseal Dysplasia With Joint Laxity, Type 2"	"Poikiloderma With Neutropenia"	"Blepharophimosis-intellectual disability syndrome, Verloes type"	"Stickler syndrome, type 2"	"Microphthalmia, Syndromic 6"	"Ulnar/fibular ray defect and brachydactyly"	"Midface Hypoplasia, Obesity, Developmental Delay, and Neonatal Hypotonia"	"Ectodermal Dysplasia, Sensorineural Hearing Loss, and Distinctive Facial Features"	"Kleefstra syndrome"	"Growth and mental retardation, mandibulofacial dysostosis, microcephaly, and cleft palate"	"Holoprosencephaly 9"	"Spondyloepiphyseal dysplasia, Cantu type"	"Hunter-Macdonald Syndrome"	"Glass Syndrome"	"Chromosome 6Pter-P24 Deletion Syndrome"	"Endocrine-Cerebroosteodysplasia"	"Zechi-Ceide syndrome"	"Cutis Laxa, Autosomal Recessive, Type 2B"	"Combined pituitary hormone deficiencies, genetic forms"	"Cutis Laxa, Autosomal Recessive, Type 1C"	"chromosome 16p13.3 duplication syndrome"	"Osteogenesis imperfecta type 10"	"Osteogenesis Imperfecta, Type 12"	"Three M syndrome 3"	"Fibrochondrogenesis 2"	"Bent bone dysplasia syndrome"	"Acrodysostosis 2, with or without hormone resistance"	"Congenital Disorder of Glycosylation, Type Iik"	"Orphanet:1387"	"Orphanet:1555"	"Orphanet:2343"	"Acrodysostosis with multiple hormone resistance"	"Orphanet:2836"	"Orphanet:3163"	"Orphanet:763"	"Orphanet:828"	"Orphanet:861"
"Midface retrusion"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Malar flattening"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Pulmonary arterial hypertension"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sparse eyelashes"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Right bundle branch block"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Abnormality of the ribs"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Delayed closure of the anterior fontanelle"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Spotty hyperpigmentation"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Abnormality of the forearm"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Wide cranial sutures"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
