	"C syndrome"	"Mental retardation, X-linked 99, syndromic, female-restricted"	"Trigonocephaly With Short Stature and Developmental Delay"	"Cleft Palate, Cardiac Defects, and Mental Retardation"	"Wiedemann-Steiner Syndrome"	"Hadziselimovic Syndrome"	"Warsaw Breakage Syndrome"	"Epileptic Encephalopathy, Early Infantile, 7"	"Schuurs-Hoeijmakers Syndrome"	"Mental retardation, autosomal dominant 21"	"chromosome 5q12 deletion syndrome"	"Mental retardation, autosomal dominant 23"	"Mental Retardation, Autosomal Dominant 26"	"ADNP-related multiple congenital anomalies-intellectual disability-autism spectrum disorder"	"Epileptic encephalopathy, early infantile, 27"	"Autosomal dominant intellectual disability-craniofacial anomalies-cardiac defects syndrome"	"Epileptic encephalopathy, early infantile, 31"	"Intellectual disability-microcephaly-strabismus-behavioral abnormalities syndrome"	"Mental retardation, autosomal dominant 40"	"Desanto-shinawi syndrome"	"Palatal anomalies-widely spaced teeth-facial dysmorphism-developmental delay syndrome"	"Chromosome 16p13.2 Deletion Syndrome"	"15q14 microdeletion syndrome"	"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart"	"Okur-Chung Neurodevelopmental Syndrome"	"Dias-Logan Syndrome; DILOS"	"Epileptic Encephalopathy, Early Infantile, 43"	"Tokita-Kim Syndrome; TOKIMS"	"Shashi-Pena Syndrome; SHAPNS"	"Hypotonia, Ataxia, and Delayed Development Syndrome; HADDS"	"Intellectual Developmental Disorder with Dysmorphic Facies and Ptosis; IDDDFP"	"OMIM:617360"	"OMIM:617450"	"Orphanet:261190"	"Intellectual disability-seizures-macrocephaly-obesity syndrome"	"11q22.2q22.3 microdeletion syndrome"
"Microcephaly"	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
"Intellectual disability"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Seizures"	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
"Hypertelorism"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0
"Delayed speech and language development"	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Short stature"	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
"Downslanted palpebral fissures"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0
"Thin upper lip vermilion"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
"Global developmental delay"	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Synophrys"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
