	"Myasthenia, Limb-Girdle, Autoimmune"	"congenital myasthenic syndrome 2C"	"Myasthenic Syndrome, Congenital, 20, Presynaptic"	"Myasthenic syndrome, congenital, 21, presynaptic"
"Nystagmus"	0.0	0.0	0.0	1.0
"Ptosis"	1.0	0.0	1.0	1.0
"Neoplasm"	1.0	0.0	0.0	0.0
"Fatigue"	0.0	0.0	0.0	1.0
"HP:0003745"	1.0	0.0	0.0	0.0
"Cognitive impairment"	0.0	0.0	1.0	0.0
"HP:0003581"	1.0	0.0	0.0	0.0
"Kyphosis"	0.0	0.0	1.0	0.0
"Knee flexion contracture"	0.0	0.0	0.0	1.0
"Polyhydramnios"	0.0	0.0	1.0	0.0
"Apnea"	0.0	0.0	0.0	1.0
"Exercise intolerance"	0.0	0.0	0.0	1.0
"Dysphonia"	0.0	0.0	1.0	0.0
"Hashimoto thyroiditis"	1.0	0.0	0.0	0.0
"Stridor"	0.0	0.0	1.0	0.0
"Thymoma"	1.0	0.0	0.0	0.0
