	"Deafness with labyrinthine aplasia, microtia, and microdontia"	"Temple-Baraitser Syndrome"	"Mental retardation, stereotypic movements, epilepsy, and/or cerebral malformations"	"Orphanet:324422"	"Orphanet:90024"
"Global developmental delay"	0.0	1.0	0.0	0.0	0.0
"Broad hallux"	0.0	1.0	0.0	0.0	0.0
"Broad thumb"	0.0	1.0	0.0	0.0	0.0
"Flat forehead"	0.0	1.0	0.0	0.0	0.0
"Wide mouth"	0.0	1.0	0.0	0.0	0.0
"Short distal phalanx of finger"	0.0	1.0	0.0	0.0	0.0
"Myopathic facies"	0.0	1.0	0.0	0.0	0.0
"Pseudoepiphysis of the thumb"	0.0	1.0	0.0	0.0	0.0
"Hypoplastic thumbnail"	0.0	1.0	0.0	0.0	0.0
"Absent nail of hallux"	0.0	1.0	0.0	0.0	0.0
