	"Ketoadipicaciduria"	"pyruvate carboxylase deficiency disease"	"DPAGT1-CDG"	"pyruvate dehydrogenase phosphatase deficiency"	"MPDU1-CDG"	"pontocerebellar hypoplasia type 6"	"renal hypomagnesemia 4"	"PSPH deficiency"	"N-acetylaspartate deficiency"	"hyperphosphatasia with intellectual disability syndrome 3"	"intellectual disability, autosomal dominant 9"	"congenital cataract-hearing loss-severe developmental delay syndrome"	"pontocerebellar hypoplasia type 1B"	"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome"	"pontocerebellar hypoplasia type 7"	"osteosclerotic metaphyseal dysplasia"	"muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B14"	"STT3A-CDG"	"STT3B-CDG"	"macrocephaly-developmental delay syndrome"	"pontocerebellar hypoplasia type 10"	"combined oxidative phosphorylation defect type 20"	"mitochondrial proton-transporting ATP synthase complex deficiency"	"intellectual disability, autosomal recessive 46"	"severe intellectual disability-epilepsy-cataract syndrome due to fatty acyl-CoA reductase 1 deficiency"	"3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia"	"epileptic encephalopathy, early infantile, 29"	"hypomagnesemia, seizures, and mental retardation"	"microcephaly 15, primary, autosomal recessive"	"spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome"	"SLC39A8-CDG"	"leukodystrophy and acquired microcephaly with or without dystonia;"	"intellectual disability, autosomal recessive 52"	"intellectual disability, autosomal recessive 53"	"epileptic encephalopathy, early infantile, 37; EIEE37"	"pontocerebellar hypoplasia, type 2F; PCH2F"	"congenital disorder of glycosylation, type IAA; CDG1AA"	"microcephaly 17, primary, autosomal recessive; MCPH17"	"growth retardation, intellectual developmental disorder, hypotonia, and hepatopathy; GRIDHH"	"intellectual developmental disorder with cardiac arrhythmia; IDDCA"	"intellectual disability, autosomal recessive 57; MRT57"	"neurodevelopmental disorder with epilepsy, cataracts, feeding difficulties, and delayed brain myelination"	"pontocerebellar hypoplasia, type 1d"
"Strabismus"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Flexion contracture"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
"HP:0000007"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"Microcephaly"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
"Intellectual disability"	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0
"Seizures"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0
"Global developmental delay"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Generalized hypotonia"	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
"HP:0003828"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"Optic atrophy"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Failure to thrive"	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
