	"epileptic encephalopathy, early infantile, 2"	"MRX88"	"SLC35A2-CDG"	"intellectual disability, X-linked 104; MRX104"	"intellectual disability, autosomal recessive 6"	"intellectual disability, autosomal dominant 5"	"epileptic encephalopathy with global cerebral demyelination"	"epileptic encephalopathy, early infantile, 5"	"KCNQ2-related epileptic encephalopathy"	"intellectual disability, autosomal dominant 2"	"intellectual disability, autosomal dominant 9"	"epileptic encephalopathy, early infantile, 13"	"osteosclerotic metaphyseal dysplasia"	"epileptic encephalopathy, early infantile, 17"	"complex cortical dysplasia with other brain malformations 5"	"epileptic encephalopathy, early infantile, 21"	"hyperphosphatasia with intellectual disability syndrome 5"	"epileptic encephalopathy, early infantile, 26"	"epileptic encephalopathy, early infantile, 27"	"epileptic encephalopathy, early infantile, 31"	"epileptic encephalopathy, early infantile, 32"	"epileptic encephalopathy, early infantile, 33"	"hypomagnesemia, seizures, and mental retardation"	"spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome"	"intellectual disability, autosomal dominant 41; MRD41"	"intellectual disability, autosomal dominant 43"	"epileptic encephalopathy, early infantile, 37; EIEE37"	"epileptic encephalopathy, early infantile, 41; EIEE41"	"epileptic encephalopathy, early infantile, 42; EIEE42"	"epileptic encephalopathy, early infantile, 43; EIEE43"	"epileptic encephalopathy, early infantile, 45; EIEE45"	"epileptic encephalopathy, early infantile, 46; EIEE46"	"epileptic encephalopathy, early infantile, 48; EIEE48"	"epileptic encephalopathy, early infantile, 54"	"neurodevelopmental disorder with epilepsy, cataracts, feeding difficulties, and delayed brain myelination"	"epileptic encephalopathy, early infantile, 55"	"intellectual disability, autosomal dominant 46"	"epileptic encephalopathy, infantile or early childhood, 1"	"intellectual disability, autosomal dominant 52"	"neurodevelopmental disorder with microcephaly, seizures, and cortical atrophy"	"glycosylphosphatidylinositol biosynthesis defect 16"	"epileptic encephalopathy, infantile or early childhood, 2"	"epileptic encephalopathy, early infantile, 59"	"epileptic encephalopathy, early infantile, 62"	"epileptic encephalopathy, infantile or early childhood, 3"	"mental retardation, autosomal recessive 64"
"HP:0000006"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Microcephaly"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Intellectual disability"	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
"Seizures"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Muscular hypotonia"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Global developmental delay"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
"Generalized hypotonia"	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hypoplasia of the corpus callosum"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
"Tapered finger"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Cerebral atrophy"	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
