	"chromosome 15q24 deletion syndrome"	"ZTTK syndrome"	"multiple mitochondrial dysfunctions syndrome 5"	"early-onset progressive encephalopathy-hearing loss-pons hypoplasia-brain atrophy syndrome"
"Wide nasal bridge"	1.0	1.0	0.0	0.0
"Downslanted palpebral fissures"	1.0	1.0	0.0	0.0
"Seizures"	1.0	1.0	1.0	1.0
"Global developmental delay"	1.0	1.0	1.0	1.0
"Ventriculomegaly"	1.0	1.0	1.0	1.0
"Facial asymmetry"	1.0	1.0	0.0	0.0
"Abnormality of cardiovascular system morphology"	1.0	1.0	0.0	0.0
"Narrow mouth"	1.0	1.0	0.0	0.0
"Hypermetropia"	1.0	1.0	0.0	0.0
"Developmental regression"	1.0	1.0	1.0	1.0
