	"autosomal recessive spinocerebellar ataxia 2"	"Griscelli syndrome type 1"	"cerebellar ataxia, mental retardation, and dysequilibrium syndrome 1"	"hyperprolinemia type 1"	"Ketoadipicaciduria"	"Galloway-Mowat syndrome 1"	"Leigh syndrome"	"neurodegeneration with brain iron accumulation 2A"	"neuroectodermal melanolysosomal disease"	"neuronal ceroid lipofuscinosis 1"	"Niemann-Pick disease, type C1"	"pyruvate carboxylase deficiency disease"	"Pelizaeus-Merzbacher disease"	"Salla disease"	"Niemann-Pick disease, type C2"	"pyruvate dehydrogenase phosphatase deficiency"	"intellectual disability, autosomal recessive 6"	"hypomyelinating leukodystrophy 6"	"dopa-responsive dystonia due to sepiapterin reductase deficiency"	"guanidinoacetate methyltransferase deficiency"	"PSPH deficiency"	"intellectual disability, autosomal dominant 9"	"autosomal recessive spinocerebellar ataxia 12"	"childhood encephalopathy due to thiamine pyrophosphokinase deficiency"	"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome"	"osteosclerotic metaphyseal dysplasia"	"autosomal recessive limb-girdle muscular dystrophy type 2S"	"STT3A-CDG"	"combined oxidative phosphorylation defect type 20"	"intellectual disability, autosomal recessive 46"	"severe intellectual disability-epilepsy-cataract syndrome due to fatty acyl-CoA reductase 1 deficiency"	"intellectual disability, autosomal recessive 47"	"microcephaly 14, primary, autosomal recessive"	"hypomagnesemia, seizures, and mental retardation"	"spastic paraplegia-severe developmental delay-epilepsy syndrome"	"leukodystrophy and acquired microcephaly with or without dystonia;"	"cerebellar atrophy, visual impairment, and psychomotor retardation;"	"autosomal recessive cerebellar ataxia - epilepsy - intellectual disability syndrome due to TUD deficiency"	"epileptic encephalopathy, early infantile, 37; EIEE37"	"growth retardation, intellectual developmental disorder, hypotonia, and hepatopathy; GRIDHH"	"epileptic encephalopathy, early infantile, 43; EIEE43"	"Joubert syndrome 27"	"Joubert syndrome 28"	"intellectual developmental disorder with cardiac arrhythmia; IDDCA"	"language delay and attention deficit-hyperactivity disorder/cognitive impairment with or without cardiac arrhythmia; LADCI"	"Harel-Yoon syndrome; HAYOS"	"encephalopathy, progressive, with amyotrophy and optic atrophy; PEAMO"	"glycosylphosphatidylinositol biosynthesis defect 15"	"Jaberi-Elahi syndrome"
"Hypertelorism"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Strabismus"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HP:0000007"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"Talipes equinovarus"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"Microcephaly"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Intellectual disability"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Seizures"	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0
"Muscular hypotonia"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Global developmental delay"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Generalized hypotonia"	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
