	"MONDO.0008741"	"MONDO.0008741"	"MONDO.0008741"	"MONDO.0008741"
"Pectus excavatum"	1.0	0.0	1.0	1.0
"Micrognathia"	1.0	0.0	1.0	1.0
"High palate"	1.0	0.0	1.0	1.0
"Intellectual disability, mild"	1.0	0.0	1.0	1.0
"Narrow mouth"	1.0	0.0	1.0	1.0
"Cataract"	1.0	0.0	1.0	1.0
"Hypothyroidism"	1.0	0.0	1.0	1.0
"Palmoplantar hyperkeratosis"	1.0	0.0	1.0	1.0
"Myopia"	1.0	0.0	1.0	1.0
"HP:0003581"	1.0	0.0	1.0	1.0
"Kyphosis"	1.0	0.0	1.0	1.0
"Skin tags"	1.0	0.0	1.0	1.0
"Transitional cell carcinoma of the bladder"	1.0	0.0	1.0	1.0
"Goiter"	1.0	0.0	1.0	1.0
"Intention tremor"	1.0	0.0	1.0	1.0
"Subcutaneous lipoma"	1.0	0.0	1.0	1.0
"Varicocele"	1.0	0.0	1.0	1.0
"Furrowed tongue"	1.0	0.0	1.0	1.0
"Hydrocele testis"	1.0	0.0	1.0	1.0
"Hyperthyroidism"	1.0	0.0	1.0	1.0
"Colonic diverticula"	1.0	0.0	1.0	1.0
"Thyroid adenoma"	1.0	0.0	1.0	1.0
"Angioid streaks of the retina"	1.0	0.0	1.0	1.0
"Progressive macrocephaly"	1.0	0.0	1.0	1.0
"Fibroadenoma of the breast"	1.0	0.0	1.0	1.0
"HP:0100646"	1.0	0.0	1.0	1.0
