	"branchiootic syndrome 1"	"rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome"	"sudden infant death-dysgenesis of the testes syndrome"	"hereditary spastic paraplegia 18"
"Lymphedema"	1.0	1.0	0.0	0.0
"Hepatomegaly"	1.0	1.0	1.0	0.0
"Patent ductus arteriosus"	0.0	1.0	1.0	0.0
"Generalized hypotonia"	1.0	1.0	1.0	0.0
"Failure to thrive"	1.0	1.0	1.0	0.0
"Cholestasis"	0.0	1.0	0.0	0.0
"Ascites"	0.0	1.0	0.0	0.0
"Protein-losing enteropathy"	1.0	1.0	0.0	0.0
"Abnormal isoelectric focusing of serum transferrin"	0.0	1.0	0.0	1.0
"Abnormality of the renal tubule"	0.0	1.0	0.0	0.0
