	"epileptic encephalopathy, early infantile, 2"	"SLC35A2-CDG"	"early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome"	"combined oxidative phosphorylation defect type 27"	"epileptic encephalopathy, early infantile, 48; EIEE48"
"Global developmental delay"	1.0	1.0	1.0	1.0	1.0
"Abnormality of the pinna"	0.0	0.0	1.0	0.0	0.0
"Low anterior hairline"	0.0	0.0	1.0	0.0	0.0
"Broad nasal tip"	0.0	0.0	1.0	0.0	0.0
"Short philtrum"	0.0	0.0	1.0	0.0	0.0
"Narrow forehead"	0.0	0.0	1.0	0.0	0.0
"Periorbital fullness"	0.0	0.0	1.0	0.0	0.0
"Hypsarrhythmia"	1.0	1.0	1.0	0.0	1.0
"Hypoplasia of the pons"	0.0	0.0	1.0	0.0	0.0
"Epileptic encephalopathy"	1.0	1.0	1.0	1.0	1.0
