	"Klippel-Feil syndrome 1, autosomal dominant"	"incisors, shovel-shaped"	"Klippel-Feil syndrome 2, autosomal recessive"	"Wildervanck syndrome"
"Abducens palsy"	0.0	0.0	0.0	1.0
"Short neck"	1.0	0.0	1.0	1.0
"Congenital sensorineural hearing impairment"	0.0	0.0	0.0	1.0
"Preauricular skin tag"	0.0	0.0	0.0	1.0
"Facial palsy"	0.0	0.0	0.0	1.0
"Fused cervical vertebrae"	0.0	0.0	1.0	1.0
"Low posterior hairline"	1.0	0.0	1.0	1.0
"Meningocele"	0.0	0.0	0.0	1.0
"Pseudopapilledema"	0.0	0.0	0.0	1.0
"Lens subluxation"	0.0	0.0	0.0	1.0
"Abnormality of the outer ear"	0.0	0.0	0.0	1.0
