	"glioma susceptibility 1"	"retinal ischemic syndrome-digestive tract small vessel hyalinosis-diffuse cerebral calcifications syndrome"	"autoimmune thyroid disease, susceptibility to, 3"	"ANIB2"
"HP:0000007"	0.0	1.0	0.0	0.0
"Dilatation"	0.0	1.0	0.0	0.0
"Premature graying of hair"	0.0	1.0	0.0	0.0
"Cerebral calcification"	0.0	1.0	0.0	0.0
"Malabsorption"	0.0	1.0	0.0	0.0
"Hematochezia"	0.0	1.0	0.0	0.0
"Poikiloderma"	0.0	1.0	0.0	0.0
"Protein-losing enteropathy"	0.0	1.0	0.0	0.0
"Subarachnoid hemorrhage"	0.0	1.0	0.0	1.0
"Chorioretinal scar"	0.0	1.0	0.0	0.0
