	"mitochondrial complex III deficiency nuclear type 1"	"cytochrome-c oxidase deficiency disease"	"congenital lactic acidosis, Saguenay-Lac-Saint-Jean type"	"mitochondrial DNA depletion syndrome 9"	"pyruvate dehydrogenase E3 deficiency"	"malonic aciduria"	"Leigh syndrome"	"pyruvate carboxylase deficiency disease"	"ethylmalonic encephalopathy"	"mitochondrial complex V (ATP synthase) deficiency, nuclear type 1"	"cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1"	"pyruvate dehydrogenase phosphatase deficiency"	"pyruvate dehydrogenase E1-beta deficiency"	"childhood encephalopathy due to thiamine pyrophosphokinase deficiency"	"encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome"	"mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to MTO1 deficiency"	"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome"	"mitochondrial pyruvate carrier deficiency"	"combined oxidative phosphorylation defect type 14"	"osteosclerotic metaphyseal dysplasia"	"combined oxidative phosphorylation defect type 17"	"mitochondrial DNA depletion syndrome 13"	"STT3A-CDG"	"epileptic encephalopathy, early infantile, 21"	"combined oxidative phosphorylation defect type 20"	"combined oxidative phosphorylation defect type 21"	"mitochondrial complex III deficiency nuclear type 9"	"intellectual disability, autosomal recessive 46"	"combined oxidative phosphorylation defect type 23"	"metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration; MECRCN"	"growth retardation, intellectual developmental disorder, hypotonia, and hepatopathy; GRIDHH"	"intellectual developmental disorder with cardiac arrhythmia; IDDCA"	"lethal left ventricular non-compaction-seizures-hypotonia-cataract-developmental delay syndrome"
"HP:0000007"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Microcephaly"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0
"Intellectual disability"	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
"Seizures"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Muscular hypotonia"	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Global developmental delay"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Generalized hypotonia"	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Ataxia"	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Optic atrophy"	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Failure to thrive"	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
