	"congenital lipoid adrenal hyperplasia due to STAR deficency"	"congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency"	"congenital adrenal insufficiency"
"Adrenal insufficiency"	0.0	0.0	1.0
"Aplasia of the uterus"	0.0	0.0	1.0
"Generalized bronze hyperpigmentation"	0.0	0.0	1.0
"Low maternal serum estriol"	0.0	0.0	1.0
"Increased circulating ACTH level"	1.0	1.0	1.0
"Abnormality of cholesterol metabolism"	0.0	0.0	1.0
"Abnormality of the Leydig cells"	0.0	0.0	1.0
"Female external genitalia in individual with 46,XY karyotype"	1.0	1.0	1.0
"Adrenocorticotropic hormone excess"	1.0	1.0	1.0
"Midshaft hypospadias"	0.0	0.0	1.0
"Induced vaginal delivery"	0.0	0.0	1.0
