	"immunodeficiency due to CD25 deficiency"	"GCCD3"	"hereditary spastic paraplegia 38"	"familial episodic pain syndrome with predominantly upper body involvement"	"Adams-Oliver syndrome 6"
"Motor delay"	0.0	0.0	0.0	0.0	1.0
"Cataract"	0.0	1.0	0.0	0.0	1.0
"Abnormality of the urinary system"	0.0	1.0	0.0	0.0	0.0
"Pseudobulbar paralysis"	0.0	1.0	0.0	0.0	1.0
"Absent speech"	0.0	0.0	0.0	0.0	1.0
"Premature ovarian insufficiency"	0.0	1.0	0.0	0.0	0.0
"Postural tremor"	0.0	0.0	0.0	0.0	1.0
"Urinary retention"	0.0	0.0	0.0	0.0	1.0
"Primitive reflex"	0.0	0.0	0.0	0.0	1.0
"Impaired vibration sensation at ankles"	0.0	1.0	0.0	0.0	1.0
"Toe walking"	0.0	1.0	0.0	0.0	1.0
"Decreased serum testosterone level"	0.0	1.0	0.0	0.0	0.0
"Hyperreflexia in upper limbs"	0.0	0.0	0.0	0.0	1.0
"HP:0031064"	0.0	0.0	0.0	0.0	1.0
