	"Charcot-Marie-Tooth disease type 1B"	"Charcot-Marie-Tooth disease type 2A1"	"Charcot-Marie-Tooth disease type 1A"	"Charcot-Marie-Tooth disease type 1E"	"Charcot-Marie-Tooth disease type 3"	"Roussy-Levy syndrome"	"Charcot-Marie-Tooth disease type 4A"	"X-linked distal spinal muscular atrophy type 3"	"Charcot-Marie-Tooth disease X-linked dominant 1"	"Charcot-Marie-Tooth disease X-linked recessive 2"	"Charcot-Marie-Tooth disease X-linked recessive 3"	"Charcot-Marie-Tooth disease type 5"	"Charcot-Marie-Tooth disease type 2B"	"Charcot-Marie-Tooth disease type 1C"	"neuropathy, hereditary motor and sensory, type 6A"	"Charcot-Marie-Tooth disease type 4D"	"Charcot-Marie-Tooth disease type 4B2"	"Charcot-Marie-Tooth disease type 2B1"	"Charcot-Marie-Tooth disease type 2B2"	"autosomal recessive distal spinal muscular atrophy 2"	"Charcot-Marie-Tooth disease dominant intermediate b"	"Charcot-Marie-Tooth disease dominant intermediate a"	"Charcot-Marie-Tooth disease axonal type 2F"	"Charcot-Marie-Tooth disease type 2I"	"Charcot-Marie-Tooth disease type 2E"	"Charcot-Marie-Tooth disease, axonal, with vocal cord paresis, autosomal recessive"	"Charcot-Marie-Tooth disease axonal type 2H"	"Charcot-Marie-Tooth disease type 1F"	"Charcot-Marie-Tooth disease type 2J"	"Charcot-Marie-Tooth disease dominant intermediate d"	"Charcot-Marie-Tooth disease recessive intermediate a"	"Charcot-Marie-Tooth disease axonal type 2L"	"Charcot-Marie-Tooth disease type 2A2"	"Charcot-Marie-Tooth disease type 4H"	"giant axonal neuropathy 2"	"Charcot-Marie-Tooth disease type 4J"	"Charcot-Marie-Tooth disease axonal type 2N"	"Charcot-Marie-Tooth disease recessive intermediate b"	"Charcot-Marie-Tooth disease axonal type 2O"	"Charcot-Marie-Tooth disease axonal type 2P"	"Charcot-Marie-Tooth disease dominant intermediate E"	"neuronopathy, distal hereditary motor, type 5B"	"Charcot-Marie-Tooth disease recessive intermediate c"	"Charcot-Marie-Tooth disease recessive intermediate d"	"spinocerebellar ataxia 43; SCA43"	"Charcot-Marie-Tooth disease, dominant intermediate G"
"Hyporeflexia"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
"Tonic pupil"	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Pes cavus"	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Distal amyotrophy"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0
"Ulnar claw"	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Areflexia"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Hammertoe"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
"Distal muscle weakness"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
"Distal sensory impairment"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
"Steppage gait"	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0
