	"spinocerebellar ataxia type 31"	"spinocerebellar ataxia type 29"	"dentatorubral-pallidoluysian atrophy"	"spinocerebellar ataxia type 34"	"spinocerebellar ataxia type 1"	"autosomal recessive spinocerebellar ataxia 2"	"cerebellar ataxia, mental retardation, and dysequilibrium syndrome 1"	"Charlevoix-Saguenay spastic ataxia"	"X-linked progressive cerebellar ataxia"	"spinocerebellar ataxia type 5"	"spinocerebellar ataxia type 10"	"spinocerebellar ataxia type 13"	"spinocerebellar ataxia type 14"	"spinocerebellar ataxia type 15/16"	"spinocerebellar ataxia type 19/22"	"spinocerebellar ataxia type 21"	"spinocerebellar ataxia type 18"	"infantile-onset autosomal recessive nonprogressive cerebellar ataxia"	"spinocerebellar ataxia type 20"	"spinocerebellar ataxia type 8"	"autosomal recessive spinocerebellar ataxia 7"	"spinocerebellar ataxia type 26"	"neurodegeneration with brain iron accumulation 2B"	"spinocerebellar ataxia type 23"	"spinocerebellar ataxia type 28"	"autosomal recessive ataxia, Beauce type"	"spastic ataxia 3"	"autosomal recessive spinocerebellar ataxia 10"	"spinocerebellar ataxia type 35"	"spinocerebellar ataxia type 36"	"autosomal recessive spinocerebellar ataxia 12"	"cerebellar ataxia, neuropathy, and vestibular areflexia syndrome"	"autosomal recessive spinocerebellar ataxia 14"	"autosomal recessive spinocerebellar ataxia 15"	"spinocerebellar ataxia type 38"	"autosomal recessive spinocerebellar ataxia 18"	"Lichtenstein-Knorr syndrome"	"autosomal recessive spastic paraplegia type 76"	"spinocerebellar ataxia, autosomal recessive 22; SCAR22"	"spinocerebellar ataxia 43; SCA43"	"spinocerebellar ataxia, autosomal recessive 24; SCAR24"	"neurodegeneration with ataxia, dystonia, and gaze palsy, childhood-onset; NADGP"	"spinocerebellar ataxia, autosomal recessive 26"	"spinocerebellar ataxia 44"	"spinocerebellar ataxia 45"	"spinocerebellar ataxia 46"	"glycosylphosphatidylinositol biosynthesis defect 15"	"leukodystrophy, hypomyelinating, 16"
"Nystagmus"	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
"Cerebellar atrophy"	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
"Brisk reflexes"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Gait ataxia"	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
"Dysarthria"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Hyperreflexia"	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
"Fasciculations"	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Progressive gait ataxia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Diplopia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Saccadic smooth pursuit"	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
